"","groups"
"1",1
"2",2
"3",1
"4",3
"5",3
"6",4
"7",4
"8",3
"9",3
"10",5
"11",1
"12",6
"13",1
"14",1
"15",2
"16",4
"17",4
"18",7
"19",4
"20",6
"21",6
"22",4
"23",7
"24",5
"25",3
"26",7
"27",2
"28",1
"29",7
"30",6
"31",4
"32",4
"33",7
"34",6
"35",6
"36",4
"37",7
"38",3
"39",3
"40",4
"41",4
"42",6
"43",4
"44",6
"45",1
"46",4
"47",1
"48",1
"49",1
"50",1
"51",4
"52",2
"53",7
"54",4
"55",7
"56",6
"57",4
"58",4
"59",3
"60",5
"61",3
"62",4
"63",3
"64",6
"65",6
"66",1
"67",6
"68",2
"69",6
"70",4
"71",2
"72",3
"73",7
"74",7
"75",6
"76",7
"77",7
"78",6
"79",6
"80",6
"81",2
"82",4
"83",5
"84",7
"85",6
"86",7
"87",7
"88",7
"89",4
"90",6
"91",2
"92",7
"93",6
"94",6
"95",6
"96",5
"97",6
"98",6
"99",4
"100",5
"101",2
"102",7
"103",4
"104",6
"105",3
"106",6
"107",4
"108",7
"109",4
"110",1
"111",6
"112",4
"113",4
"114",3
"115",6
"116",6
"117",4
"118",6
"119",1
"120",4
"121",4
"122",6
"123",4
"124",6
"125",1
"126",7
"127",4
"128",1
"129",6
"130",6
"131",3
"132",1
"133",4
"134",6
"135",4
"136",4
"137",2
"138",4
"139",2
"140",4
"141",6
"142",6
"143",6
"144",4
"145",4
"146",4
"147",6
"148",2
"149",4
"150",4
"151",2
"152",4
"153",2
"154",6
"155",4
"156",2
"157",4
"158",4
"159",4
"160",4
"161",2
"162",2
"163",1
"164",3
"165",4
"166",2
"167",7
"168",2
"169",1
"170",2
"171",3
"172",2
"173",7
"174",4
"175",3
"176",4
"177",4
"178",4
"179",2
"180",2
"181",7
"182",5
"183",4
"184",6
"185",2
"186",4
"187",7
"188",6
"189",4
"190",6
"191",1
"192",4
"193",4
"194",5
"195",1
"196",6
"197",7
"198",4
"199",7
"200",4
"201",7
"202",6
"203",5
"204",4
"205",4
"206",4
"207",7
"208",7
"209",6
"210",6
"211",4
"212",6
"213",1
"214",4
"215",3
"216",6
"217",4
"218",6
"219",6
"220",6
"221",4
"222",4
"223",7
"224",4
"225",2
"226",3
"227",3
"228",3
"229",3
"230",3
"231",7
"232",7
"233",1
"234",4
"235",3
"236",4
"237",6
"238",4
"239",3
"240",3
"241",6
"242",7
"243",4
"244",6
"245",4
"246",6
"247",3
"248",3
"249",7
"250",4
"251",3
"252",7
"253",3
"254",4
"255",6
"256",3
"257",3
"258",1
"259",6
"260",2
"261",4
"262",4
"263",4
"264",6
"265",6
"266",3
"267",4
"268",2
"269",7
"270",3
"271",4
"272",1
"273",6
"274",2
"275",3
"276",2
"277",4
"278",4
"279",7
"280",3
"281",6
"282",6
"283",6
"284",4
"285",2
"286",3
"287",6
"288",3
"289",4
"290",3
"291",1
"292",2
"293",2
"294",6
"295",4
"296",6
"297",6
"298",4
"299",6
"300",4
"301",6
"302",6
"303",7
"304",6
"305",4
"306",1
"307",3
"308",6
"309",1
"310",2
"311",4
"312",6
"313",3
"314",1
"315",6
"316",4
"317",4
"318",4
"319",4
"320",2
"321",2
"322",1
"323",2
"324",4
"325",7
"326",3
"327",6
"328",4
"329",4
"330",6
"331",6
"332",2
"333",7
"334",1
"335",6
"336",4
"337",7
"338",4
"339",7
"340",6
"341",7
"342",4
"343",4
"344",4
"345",7
"346",7
"347",4
"348",3
"349",1
"350",1
"351",3
"352",4
"353",7
"354",6
"355",3
"356",6
"357",7
"358",3
"359",3
"360",3
"361",3
"362",4
"363",1
"364",6
"365",6
"366",4
"367",2
"368",7
"369",4
"370",4
"371",4
"372",7
"373",4
"374",7
"375",6
"376",6
"377",7
"378",5
"379",4
"380",4
"381",4
"382",5
"383",4
"384",5
"385",7
"386",2
"387",4
"388",4
"389",1
"390",1
"391",4
"392",1
"393",7
"394",1
"395",4
"396",7
"397",7
"398",4
"399",7
"400",5
"401",5
"402",5
"403",1
"404",7
"405",1
"406",4
"407",4
"408",5
"409",1
"410",1
"411",1
"412",1
"413",3
"414",4
"415",2
"416",6
"417",1
"418",1
"419",6
"420",6
"421",1
"422",6
"423",6
"424",7
"425",2
"426",4
"427",7
"428",4
"429",4
"430",4
"431",4
"432",3
"433",4
"434",4
"435",4
"436",1
"437",6
"438",7
"439",4
"440",4
"441",2
"442",3
"443",4
"444",4
"445",4
"446",4
"447",7
"448",4
"449",4
"450",3
"451",4
