"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"V1",0.00237097662646603,0.00728762500638898,0.00177440314477033,-0.000688086914023854,-0.00564265749837402,-0.00320301358573587,0.00182048453976742,0.00332146294432716,0.00197427066448333,-0.00584375917496859
"V2",-0.00133938798332178,-0.00260977292908706,-0.00412085643169029,0.00222602137782831,-0.00542970493903792,-0.00512725662427575,-0.00308484264592255,-0.0010807883808871,0.00541259360373567,0.00172941863398776
"V3",-0.00953581607770341,-0.0143121027712359,-0.00589658198992521,-0.00756915196884375,0.00806868523325134,0.0102539423522752,0.0097721533145709,-0.000679889191888445,-0.00159143416206403,-0.000930817824086812
"V4",0.000805095621802515,-0.00435011459141733,-0.00102884649300383,-0.00276821580550227,0.000228472823106755,-0.00242962363831619,-0.00380722408584795,-0.00213542195752949,-0.0044589097860092,0.00184257076250359
"V5",-0.000634750044394569,-0.00239063933852482,-0.00181448914221682,4.77113045522349e-05,-0.00357350816538708,0.00194997094699568,-3.3274289026989e-05,-0.00150646005535874,-0.00190281900045164,-0.000289004736348441
"V6",-0.000142133197653611,-0.000693769520644144,-0.000123516694717785,-0.00122461310542039,-0.000741444827449681,4.19793634164782e-05,6.17362945622593e-05,-0.00143254000972918,0.000613437409496218,0.000234796049397269
"V7",-0.00298364379651104,-0.0135901245277952,0.0095313650220656,-0.0088899852869709,-0.0054075129440748,0.000916517537010553,-0.00269052689807825,0.0179297462090839,0.00148331812373444,0.000893995234630243
"V8",0.0143491796396553,-0.0153422428079874,0.047735712427641,0.011580273527173,-0.0107012806844329,-0.00313105196296022,0.0307840513479329,-0.0534719226636033,-0.00253475534764393,0.0160827990331877
"V9",-0.00524555506678402,-0.00802821270503539,0.000270868348387718,0.00673644405695677,0.00585959229058297,-0.0010916973720328,0.00151259267828167,-0.00359744646239401,-0.00333992388532573,-0.00192038591561053
"V10",-0.000133174893564914,0.00825129455550908,-0.0189976058277195,-0.00920751338221065,-0.00398681569743391,-0.0110944813762792,0.00963648535872791,0.00789516964629124,0.00527463606296867,-0.00295076140764067
