"","X1","X2","X3","X4"
"V1",0.000891121182018106,-0.01058542781071,0.00102773172887816,0.00554296280504177
"V2",0.011854230315586,0.000693872678717396,-0.0201600172873093,0.0217833202574815
"V3",0.00252292490326647,-0.00612967635047874,-0.000367060959469511,-0.00454124480922147
"V4",0.00747079774398185,0.00295907845038104,0.000212163941165819,0.00362661158335532
"V5",0.00727327019625135,0.000914441936428941,-0.0103939409678897,0.0163520551196002
"V6",0.00492739972344186,-0.00399233691045905,-0.0142893134404045,0.00958684540975849
"V7",0.00574897789046968,-0.00856152321056907,-0.00216486186649992,0.00530560039355674
"V8",0.00311847071478912,-0.00287662422818467,0.00212922792904433,0.00220830043645068
"V9",0.000560204483060873,0.00144705874650333,-0.00313210373653174,0.00493908556411192
"V10",0.00371275312189088,0.00366091006762698,-0.00830833601772639,0.0162724653184373
"V11",-0.0110964495012931,0.00943933638818092,-0.00747645151467489,0.0122709269299049
"V12",-0.00210256843977303,0.00408052956456698,0.00420516584407698,0.0112839445056809
"V13",0.00146041104915081,0.0160720388606657,0.00939325622207083,-0.00701006218782425
"V14",0.00469020672620982,-0.00677128134836424,-0.00105361471721052,-0.00176439454167168
"V15",-0.0032947049382858,-0.0155967773434641,-0.0065764928255781,0.0073556386095371
"V16",0.0141673187506949,0.00101312034797376,0.0029821179304026,0.00197676729786997
"V17",-0.0202941958735912,0.000345066502051852,-0.00101970672177492,0.0127459967845537
"V18",0.0028673182931333,0.000968950674754287,0.00231268799427479,-0.000946966577218068
"V19",-0.0154904604974378,-0.00395153038266761,0.00508585364210962,-0.00315884353640837
"V20",0.00179633365142056,0.00458151039545261,0.00343826449673078,0.000846055086404137
"V21",-0.0102751733029128,-0.00030739209455414,0.0046657484118702,-0.00420862046437288
"V22",0.010356103205967,-0.00777401010493199,-0.0141461757015532,0.0101124160583463
"V23",0.00382586624897866,0.00214605016194426,-0.00951167980752418,0.000524863333942682
"V24",0.00323897838899645,0.000412910050930022,-0.00994569293033219,0.00488743093977533
"V25",0.00360480203939215,0.00905273377907696,0.00280173862445441,-0.000841417032798915
"V26",0.00448483430311972,0.000766028509779899,-0.00873273580119783,-0.0118058920093392
"V27",0.0109295651185872,0.0125188079279695,0.000520479710372986,0.00898765476082312
"V28",0.00776625263610561,0.00667704224484828,-0.0184212081810683,0.00495732918427611
"V29",-0.001057771966101,0.00146251578980283,0.00312571803504493,0.00831587342650481
"V30",0.0042300463089776,-0.00273664598074048,-0.00909520678678389,-0.0119868390256321
"V31",0.0056237194686887,-0.0104632059256358,-0.0177084088175355,-0.00226408080767954
"V32",0.00403955854013343,0.00450054443857048,0.00944368201856969,-0.00134756894532332
"V33",0.00423228317430529,0.00559048237504176,0.00655616423935373,0.00378903454035739
"V34",-0.000576357766371194,0.00370149103980482,0.00616852904586577,0.00333361956515476
"V35",-0.00981116613662924,0.0136441791118413,-0.0061232230856158,0.00252327061057217
"V36",-0.00892079308737924,-0.00459888285401405,-0.00137961219192753,0.00409824831081436
"V37",0.0155876251280894,-0.00196942914003813,0.00947514716162623,0.00825098751197536
"V38",0.00216774070331368,0.000643978008455206,0.000504558319843286,0.00285407302479309
"V39",0.00129079131114428,1.0213286739652e-05,-0.0111675578864018,0.0177423310057175
"V40",0.00895951484899381,0.00793637148092782,-0.00958930622757714,-0.00156853787453251
"V41",0.00288713679943987,-0.0129135229043745,0.00344714246234351,0.0111438738023424
"V42",-0.000927696666810561,-0.00371481093887597,0.00126327258417971,0.00536015779179842
"V43",0.00510627602599086,-0.00401760487792286,0.00364966202344582,0.00582963877508613
"V44",0.00957427388647298,0.00181335444784282,-0.0179743935570926,0.0193596525266454
"V45",-0.00908341995839637,0.00594247572130005,0.00600680727564716,0.00230633459072537
"V46",-0.0125971689533576,-0.0110371249649251,-0.00137857442535414,0.00954585291435398
"V47",-0.00424547922948859,-0.00358070590915735,0.000416561650279063,-0.000626346980907131
"V48",-0.0107254845452262,-0.00152672086057024,0.00714851549473868,0.00188366853870038
"V49",-0.00410823788321626,-0.00338577334619847,0.00350234391519932,0.00722027312914315
"V50",-0.00552948004659649,-0.00335329652828262,0.00438441991859153,0.00541909756470183
"V51",-0.000768876708644209,-0.00197725958660346,-0.00678825413724717,-0.0138502813869874
"V52",-0.00741103608530671,-0.00222983610253898,0.00319386587251949,0.00394595264098484
"V53",0.00433121639699956,0.00172632439303807,0.00271448035827535,-0.00293423564520515
"V54",0.00278768004588494,-0.000181122788883572,0.00511196661130227,0.00216502174843202
"V55",-0.0092167290640776,0.00486912885946086,-0.00236187154494481,0.00332538173218232
"V56",0.0104713386781702,0.0148373542358345,-0.00512419685744002,0.00296769246685283
"V57",-0.000353882900675656,0.00895259946295378,-0.0077296392276362,0.00755317339001473
"V58",0.00930239136080454,0.0089625927021734,-0.00921413600021262,0.00691369896575549
