"","X1","X2"
"V1",0.00449692043314309,0.00208565790088014
"V2",0.00138787313325627,-0.00188450370186198
"V3",-0.000627551183736137,0.00627038566599708
"V4",0.0056689234513038,-0.00290384671439198
"V5",-0.00423464383457959,-0.0137146336243477
"V6",-0.00565709973190946,-0.00382241648004214
"V7",0.00874328919360841,0.00979244280105632
"V8",0.00568380584965071,-0.00130329062530766
"V9",-0.00315139133474638,-0.00514220736876954
"V10",-0.00700412010280044,-0.0105086499587473
"V11",-0.0045243302336218,-0.0101988407891555
"V12",-0.00598677929075641,-0.00785788079056153
"V13",0.00468225235022915,0.00615391675557958
"V14",0.00483286761526954,0.00628720760371319
"V15",0.00126845407368166,0.00071218835768939
"V16",0.00336952094375437,0.00492483902327405
"V17",-0.00679521918007095,-0.00161245926030899
"V18",-0.00494364562249412,-0.00238941990715494
"V19",0.00106874976743106,0.00591815952170983
"V20",-0.0013545785339942,-0.00882299485234127
"V21",-0.00196782977258041,0.00389124996079115
"V22",0.00242331336214736,0.0059330417603158
"V23",-0.0071296805903182,0.00111053881374186
"V24",-0.000179427329099744,0.00960871265105088
"V25",0.00143086778035204,0.00822007165076899
"V26",0.00102521441035597,0.00760648009376969
"V27",0.00533287683826515,-0.00812213791556085
"V28",-0.000813412173106958,0.0135555426824009
"V29",-0.0014481371045876,-0.00327078691242083
"V30",0.0103655875490259,0.0176950218365707
"V31",0.00569723844245656,0.0103552809064117
"V32",0.00970925098963645,-0.00416781893544137
"V33",0.00172866273019218,0.0012161256452052
"V34",-0.000945534009848246,-0.00138758482041667
"V35",-0.0022566568525589,0.00782045691966545
"V36",0.000858452155873239,0.00885160422278991
"V37",0.0189386352271675,-0.0111906784474146
"V38",0.00161051057147747,-0.00464898219029565
"V39",-0.0125071876991357,0.000293533782659169
"V40",0.00301614331905087,0.0149841358800054
"V41",0.00345418559501385,-0.00130167730324986
"V42",-0.0032641430816902,-0.00705909053991904
"V43",-0.00314500667616971,-0.000454908255820694
"V44",0.00267051779615486,0.00403498096738128
