"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"V1",-0.00166549172749044,-0.000899252785516606,0.00825892000756185,-0.00937776421826633,0.00899365133473454,0.00877515619302037,-0.00789291341559627,-0.001559866828338,-0.0146048554400502,-0.00584235468692047
"V2",-0.0200622007586158,-0.0208131443943697,-0.00838400016507135,-0.00390425484054694,0.0124977925256272,0.0131101514538255,-0.00242183409485705,-0.000975572483616393,0.00551784308739761,-0.00410663242791293
"V3",0.00218384017710813,0.00431264323985287,-0.0107169913211098,0.00303247859879234,-0.00547533879743725,0.00481588206423618,0.00125703081188726,0.00682236350032847,-0.0113635669018889,-0.00379229523199115
"V4",-0.000852978331616356,-0.0082372754530374,-0.000718478044072483,0.00175484608128929,0.00142168038069545,0.00287904146683099,0.000950519548298043,0.00100854784007705,-0.00487831085541086,-0.00425762661983229
"V5",-0.00225155562973628,-0.0153051204462411,-0.00774197694845739,-0.00132480045491409,0.00670393405682859,-7.02290467878403e-05,-0.00153737420698719,0.00582635694178937,0.0124035325302963,0.00106905860384341
"V6",-0.00739942705550258,-0.0038963559552779,-0.0115489707336903,-0.00291982427882388,0.0147845503673404,-0.0110230299726148,0.014028494262368,0.00458917992976824,0.00483305768465323,-0.0123053627710453
"V7",0.00113999313874745,-0.00257776131876984,-0.0130732938983419,-0.00595226050194719,0.00489565781866796,-0.00398303131467639,-0.00627841081220849,0.00711825985997419,-0.00827542174374392,0.0098188594345057
"V8",-0.000596257418648991,-0.00245762604817039,-0.000326538534004053,0.000955472658712801,0.00682466143303492,0.0025643756853397,-0.00132775571326977,-0.000628139163402038,0.001110511868983,0.0086978683674608
"V9",0.0022403421076693,-0.00579570866024641,-0.00306776825409318,-0.0128033527652389,0.00409611231063644,-0.00703934945823584,0.0114112645284793,-0.00518152443690391,0.00617187606606607,-0.00463355826998411
"V10",-0.00571275992911778,-0.0134773728203257,-0.00337252806941271,-0.00571355455510956,-0.0107546509610628,0.0211014198347487,-0.000843686284756644,0.000933188645883519,-0.00125096837959255,0.00637974462037776
"V11",-0.0095123793036576,-0.00258064663595752,0.00582457342247619,0.00267542057596541,0.0181553156749932,6.29138504394896e-05,0.0044959294903096,0.013941919173293,0.00648437908981671,-0.00548961760863089
"V12",0.00414064086637297,-0.00578093411509159,0.00414289699460462,-0.0133671858652759,0.00161814212976316,-0.00552521122859401,0.0126411817087116,-0.00455998298318329,0.0131050115903513,0.00447600992758646
"V13",0.00161734465838529,-0.00053317154319347,0.0118643464780817,-0.00771472974021525,-0.000616182886476694,-0.0132493025261822,-0.00607034952270974,-0.00623208969995348,-6.01018231248564e-05,-0.00222389506032202
"V14",0.00180583788705795,0.00405747846604294,-0.00233727953019595,-0.00052703884643526,-0.00218107343627433,0.00268612905152223,-0.00899232534434581,-0.00242629665667447,0.00147050254412764,0.00194867406076537
"V15",-0.000463765177978909,0.000960846982124942,-0.0113076085428006,0.00761331108701907,0.013783130700433,0.0157675704384076,-0.00281918074383704,0.00187388992770106,0.0032479680130153,0.0101081030180379
"V16",0.00255968781021956,-0.012605214147773,0.00393844438666638,-0.000291336761327915,6.49558735841611e-05,0.00940578715634365,0.0117731101915528,-0.0186422230749153,-0.00650359153278237,-0.00929521333690338
"V17",-0.00417447395126635,0.00490036920291802,0.00532437242289002,-0.00766213048666272,0.0101035599569257,6.00227016060144e-05,0.00849506451244512,-0.0086754270137775,0.0124418538366872,0.0145201166420338
