"","X[[i]]"
"1",6
"2",3
"3",6
"4",5
"5",5
"6",4
"7",8
"8",5
"9",2
"10",10
"11",6
"12",8
"13",4
"14",6
"15",3
"16",8
"17",4
"18",11
"19",11
"20",8
"21",8
"22",8
"23",9
"24",10
"25",2
"26",10
"27",3
"28",6
"29",10
"30",11
"31",11
"32",11
"33",10
"34",8
"35",8
"36",8
"37",9
"38",5
"39",5
"40",11
"41",10
"42",8
"43",8
"44",8
"45",6
"46",10
"47",4
"48",6
"49",4
"50",6
"51",1
"52",8
"53",10
"54",8
"55",9
"56",11
"57",8
"58",10
"59",5
"60",10
"61",2
"62",1
"63",5
"64",8
"65",11
"66",8
"67",11
"68",3
"69",8
"70",4
"71",11
"72",2
"73",10
"74",10
"75",11
"76",10
"77",10
"78",8
"79",8
"80",8
"81",8
"82",8
"83",10
"84",9
"85",8
"86",9
"87",9
"88",9
"89",4
"90",8
"91",8
"92",9
"93",11
"94",8
"95",8
"96",10
"97",11
"98",11
"99",8
"100",10
"101",8
"102",10
"103",10
"104",11
"105",2
"106",11
"107",11
"108",11
"109",11
"110",6
"111",11
"112",10
"113",10
"114",5
"115",11
"116",11
"117",10
"118",11
"119",6
"120",10
"121",1
"122",11
"123",11
"124",11
"125",6
"126",10
"127",10
"128",6
"129",8
"130",8
"131",5
"132",6
"133",11
"134",8
"135",11
"136",11
"137",3
"138",11
"139",3
"140",4
"141",11
"142",11
"143",11
"144",4
"145",10
"146",4
"147",11
"148",3
"149",4
"150",11
"151",3
"152",11
"153",3
"154",11
"155",11
"156",3
"157",11
"158",10
"159",4
"160",11
"161",3
"162",3
"163",4
"164",2
"165",11
"166",3
"167",10
"168",3
"169",6
"170",3
"171",5
"172",3
"173",10
"174",1
"175",2
"176",8
"177",8
"178",10
"179",8
"180",3
"181",10
"182",10
"183",11
"184",11
"185",3
"186",8
"187",10
"188",8
"189",4
"190",8
"191",4
"192",1
"193",1
"194",10
"195",6
"196",8
"197",10
"198",8
"199",10
"200",8
"201",10
"202",8
"203",10
"204",8
"205",8
"206",4
"207",10
"208",10
"209",8
"210",8
"211",4
"212",8
"213",6
"214",8
"215",5
"216",8
"217",8
"218",8
"219",8
"220",8
"221",8
"222",8
"223",10
"224",11
"225",8
"226",5
"227",5
"228",5
"229",2
"230",5
"231",10
"232",10
"233",10
"234",4
"235",5
"236",11
"237",11
"238",11
"239",2
"240",5
"241",11
"242",10
"243",1
"244",11
"245",10
"246",8
"247",5
"248",5
"249",10
"250",11
"251",2
"252",10
"253",2
"254",8
"255",8
"256",2
"257",5
"258",10
"259",8
"260",8
"261",4
"262",10
"263",4
"264",8
"265",11
"266",5
"267",4
"268",3
"269",10
"270",5
"271",11
"272",4
"273",8
"274",3
"275",5
"276",3
"277",8
"278",4
"279",10
"280",5
"281",8
"282",8
"283",8
"284",8
"285",8
"286",5
"287",8
"288",5
"289",8
"290",5
"291",4
"292",8
"293",3
"294",3
"295",8
"296",8
"297",11
"298",11
"299",8
"300",8
"301",8
"302",8
"303",9
"304",8
"305",8
"306",4
"307",5
"308",8
"309",4
"310",8
"311",8
"312",11
"313",5
"314",4
"315",11
"316",4
"317",10
"318",8
"319",10
"320",8
"321",3
"322",6
"323",3
"324",10
"325",10
"326",2
"327",11
"328",10
"329",4
"330",8
"331",8
"332",3
"333",10
"334",4
"335",11
"336",8
"337",10
"338",8
"339",9
"340",11
"341",10
"342",8
"343",8
"344",8
"345",10
"346",10
"347",10
"348",5
"349",6
"350",6
"351",5
"352",4
"353",11
"354",11
"355",5
"356",8
"357",10
"358",5
"359",5
"360",5
"361",5
"362",1
"363",4
"364",8
"365",8
"366",8
"367",8
"368",10
"369",11
"370",11
"371",11
"372",10
"373",4
"374",10
"375",11
"376",11
"377",10
"378",10
"379",11
"380",11
"381",11
"382",10
"383",4
"384",10
"385",9
"386",3
"387",11
"388",11
"389",6
"390",6
"391",11
"392",4
"393",10
"394",6
"395",4
"396",10
"397",10
"398",11
"399",10
"400",10
"401",10
"402",10
"403",6
"404",9
"405",6
"406",11
"407",11
"408",10
"409",6
"410",6
"411",6
"412",6
"413",2
"414",11
"415",3
"416",11
"417",6
"418",6
"419",8
"420",11
"421",6
"422",11
"423",11
"424",10
"425",3
"426",8
"427",10
"428",11
"429",11
"430",11
"431",2
"432",5
"433",11
"434",4
"435",11
"436",4
"437",11
"438",10
"439",4
"440",11
"441",3
"442",5
"443",11
"444",11
"445",11
"446",11
"447",9
"448",10
"449",8
"450",5
"451",11
"452",10
"453",10
"454",6
"455",6
"456",10
"457",10
"458",3
"459",11
"460",8
"461",6
"462",10
"463",11
"464",5
"465",6
"466",8
"467",10
"468",10
"469",2
"470",10
"471",3
"472",11
"473",11
"474",3
"475",10
"476",3
"477",10
"478",10
"479",3
"480",11
"481",3
"482",3
"483",10
"484",5
"485",11
"486",8
"487",11
"488",8
"489",3
"490",10
"491",11
"492",10
"493",3
"494",8
"495",8
"496",11
"497",3
"498",8
"499",8
"500",11
"501",11
"502",2
"503",11
"504",10
"505",11
"506",1
"507",11
"508",11
"509",3
"510",10
"511",1
"512",11
"513",1
"514",4
"515",11
"516",11
"517",2
"518",4
"519",6
"520",5
"521",11
"522",10
"523",11
"524",4
"525",6
"526",8
"527",8
"528",1
"529",6
"530",10
"531",5
"532",11
"533",8
"534",6
"535",4
"536",6
"537",6
"538",6
"539",9
"540",2
"541",2
"542",10
"543",10
"544",9
"545",10
"546",5
"547",9
"548",6
"549",3
"550",11
"551",2
"552",6
"553",8
"554",10
"555",4
"556",2
"557",3
"558",11
"559",9
"560",8
"561",10
"562",8
"563",10
"564",8
"565",9
"566",4
"567",4
"568",10
"569",10
"570",8
"571",6
"572",8
"573",9
"574",8
"575",6
"576",9
"577",11
"578",9
"579",5
"580",5
"581",10
"582",3
"583",9
"584",9
"585",9
"586",9
"587",10
"588",8
"589",10
"590",11
"591",8
"592",11
"593",10
"594",4
"595",10
"596",11
"597",8
"598",2
"599",10
"600",4
"601",8
"602",2
"603",2
"604",11
"605",5
"606",3
"607",6
"608",4
"609",11
"610",5
"611",5
"612",8
"613",8
"614",10
"615",8
"616",10
"617",10
"618",10
"619",8
"620",1
"621",2
"622",6
"623",6
"624",4
"625",8
"626",4
"627",10
"628",4
"629",6
"630",10
"631",8
"632",8
"633",8
"634",8
"635",4
"636",10
"637",8
"638",6
"639",4
"640",9
"641",4
"642",10
"643",10
"644",11
"645",6
"646",8
"647",8
"648",10
"649",10
"650",10
"651",4
"652",4
"653",10
"654",3
"655",8
"656",8
"657",10
"658",8
"659",10
"660",4
"661",10
"662",5
"663",10
"664",2
"665",10
"666",10
"667",8
"668",10
"669",4
"670",4
"671",11
"672",4
"673",5
"674",11
"675",10
"676",8
"677",10
"678",8
"679",10
"680",11
"681",1
"682",8
"683",11
"684",4
"685",11
"686",8
"687",10
"688",5
"689",10
"690",8
"691",10
"692",2
"693",9
"694",10
"695",11
"696",8
"697",11
"698",10
"699",10
"700",4
"701",4
"702",11
"703",10
"704",10
"705",10
"706",4
"707",4
"708",3
"709",11
"710",10
"711",10
"712",10
"713",8
"714",10
"715",4
"716",8
"717",4
"718",10
"719",11
"720",11
"721",6
"722",6
"723",8
"724",8
"725",10
"726",4
"727",8
"728",6
"729",8
"730",8
"731",10
"732",3
"733",4
"734",8
"735",10
"736",11
"737",4
"738",10
"739",8
"740",5
"741",8
"742",10
"743",8
"744",8
"745",3
"746",4
"747",6
"748",3
"749",4
"750",3
"751",3
"752",8
"753",8
"754",3
"755",5
"756",3
"757",3
"758",9
"759",11
"760",6
"761",6
"762",10
"763",8
"764",6
"765",4
"766",10
"767",6
"768",8
"769",11
"770",10
"771",3
"772",6
"773",10
"774",10
"775",10
"776",8
"777",4
"778",8
"779",8
"780",5
"781",8
"782",8
"783",10
"784",8
"785",3
"786",10
"787",10
"788",3
"789",2
"790",10
"791",10
"792",3
"793",10
"794",3
"795",10
"796",10
"797",8
"798",8
"799",4
"800",8
"801",10
"802",8
"803",2
"804",8
"805",10
"806",11
"807",8
"808",8
"809",4
"810",4
"811",10
"812",7
"813",7
"814",7
"815",7
"816",7
"817",7
"818",7
"819",7
"820",7
"821",7
"822",7
"823",7
"824",7
"825",7
"826",7
"827",7
"828",7
"829",7
"830",7
"831",7
