"","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"V1",-0.00127270727917,-0.000856501775444374,-0.00183739693595577,-0.00261167292391796,2.7747087829961e-05,0.00363376541472838,0.000631283895150543,-0.000683297619093096,0.00415552069407185
"V2",-0.00331896991865801,-0.000846031916801854,-0.000994730762629404,-0.00101102529066827,-0.000201103888322556,-0.00331620758921209,-0.00275327548806358,-0.000569264600815984,0.000875521415918466
"V3",-0.00182315054107992,0.000475331679728385,-0.0110504096028955,0.00808343366525125,-0.000882470297688732,0.00350257641933633,0.000954767679388823,0.00731453860427984,0.00441878860771775
"V4",-0.0149204640339189,0.0219722780762886,-0.0530264694697427,-0.00162720160780268,0.0274013661275453,-0.0388115527055619,-0.0174314664662888,-0.0256530447542803,0.0256941198804697
"V5",0.00017284490524581,-0.00481474421288768,0.00517080616151046,0.000254890208532724,-0.00274257715117859,0.00451929698668374,-0.000294324434152772,0.00513463133915484,-0.00085557700005395
"V6",0.00170592952411601,-0.00177577085890101,-6.84224272417931e-05,0.0331520510772275,0.000235342686707634,0.0207757073135824,0.00605224019093607,-0.0054139570323816,-0.0078332711766784
"V7",-0.00358699548587315,-0.00650035917237209,-0.000575396365873876,0.00281712917110026,0.0149950233392229,0.000215877869150371,-0.00818169735584473,-0.0060868028932441,-0.00395531522349193
"V8",-0.00625685234220362,-0.00188512099085501,-0.00360786821832305,-0.000442200455936026,-0.00719476272843803,-0.00218024123054349,-0.00219082144606342,-0.000773604903344343,0.00128430077565588
"V9",0.00679841147574317,-0.00723761418242386,-0.000990001595815085,0.00677612991234502,-0.00633254792111615,-0.00678492511981524,-0.00153704447208377,-0.0121641068881395,0.00638968625732751
"V10",-0.00189767977071369,0.00734883382583587,-0.00710883313167455,0.000548558429723641,0.00907149121979134,-0.00653777108081931,-0.00637406561693148,0.0111604041601085,0.00803508383993327
"V11",-0.00361341159553576,0.00114292620345349,0.00566920137946754,0.000897581561803082,-0.0022564729370169,0.00103567150516042,0.0106077837219776,0.00742806618384712,-0.00682107898378829
"V12",0.00403104068952651,-0.00386795831598301,0.00314565764722802,0.00786580418481129,0.00636735489082233,0.00503232001922959,-0.0161488659758143,-0.0072355888301665,0.0023344479656405
"V13",0.00649017680506876,-0.0130163672356368,0.00503425226215227,0.00355493339056272,-0.00635975120823619,-0.00479190326926947,-0.000115960359939644,-0.01032115038111,0.0075978250248544
"V14",-0.0031599779046273,-0.000827059442015793,-0.00334385323317564,0.00207410294884766,-0.000154077039393528,0.0127614571098481,0.00492534613743478,-0.000514155767233372,-0.00643391701214596
"V15",-0.00169948384930434,0.00415396697247791,0.006870274893953,0.0134460754051015,0.0262932504324775,-0.00929764915807125,-0.00534670212113564,0.00261893649400784,-0.0128748599975987
"V16",-0.00446745605956319,-0.00307848807473695,-0.00156770396893137,-0.00108935666116238,-0.00161878309356571,-0.00212683525889534,-0.00176940609605904,0.00102291579210265,-0.00039022583820817
"V17",0.00074996332045954,0.00800247496849531,-0.00615082351213172,0.0060489140735192,0.00118058983522447,-0.0102281599809309,-0.0103269097852598,0.00173247038958056,-0.00362171645499581
"V18",-0.0220564197853406,0.0312117793071535,0.00734306400378772,-0.00542981577159596,0.0163932530319872,-0.0161074528860537,0.00834384561598596,0.00677583525123257,-5.47782889605467e-05
"V19",0.00832885390690273,0.00480468466778582,0.00444052754037281,-0.00343624313798223,0.00137555674912304,-0.00643687149689188,-0.0109756519064429,4.64147413991164e-05,-0.00308315655350051
"V20",-0.0045444489295175,-0.000252752042662473,0.00322480886425066,0.00895925249437688,-0.00102331193897915,0.00937041439079301,-0.0045956878227904,0.0144931228851771,-0.00435036868697373
"V21",-0.00480650010904906,0.00681312025974237,-0.00803330666866382,0.00451844811083044,0.000288378854457639,-0.00277850815117786,0.00300757878014363,0.00255919980757239,-0.00320195189326816
"V22",-0.0101769119615713,0.000900262543668024,-0.0055133880206141,0.00199376269022038,0.0117914213341104,0.0164229635889859,0.000301460323742252,-0.00157779572930361,-0.00586440328187183
"V23",0.00366456790882304,-0.0045527040094055,-0.00901062362354887,-0.00420024562323862,0.00427614154704736,-0.00388331499575721,-0.0108866151271503,-0.00104671933153345,-0.00490667825673939
"V24",0.00473595343859986,0.00274915941152124,4.70375478796939e-05,-0.00494669725655254,0.00301949813765527,0.0100164170577917,0.00421307878299197,-0.00055410865785941,0.0093638875484495
"V25",-0.00330267669023634,0.00107081578320196,-0.000800187592655756,0.00073226514194662,0.00194525313006503,-0.00253501860416763,-0.0059560573656369,-0.000710098261978809,-0.00617303931793751
"V26",-0.00284760182746546,-0.00020397066133848,-0.0115518746937114,-0.0198235273277,-0.00571841099295623,-0.00766613632767233,0.012120246358008,-0.00584825745146712,-0.00260104077809408
"V27",-0.004342074528951,0.000325916745118167,-0.0268276121627868,0.0192713883874166,0.00876161172763707,0.0131509317258964,-0.000612057802483652,-0.0037583577766302,0.0134236711759966
"V28",0.00915242386926456,-0.00751611231197478,-0.014092104388509,-0.00197355761237389,-0.00481255816864803,-0.00361690602230933,0.00159701730635714,0.00141855101985241,-0.00235987267923907
"V29",0.00117600913565567,-0.00511709704538172,0.00274429893820444,0.006418693721101,0.00627919809417448,0.00429510244379088,-6.72835645451017e-05,0.00703305283393702,0.0147906625671871
"V30",0.0136170559868724,-0.0103116068308433,-0.00568249114566645,-0.0134902548446116,0.00216894067088862,-0.00716840516740448,0.00971180611292747,-0.000853105678116299,0.00423160416963691
"V31",0.00100446763567302,-0.0112726828647952,-0.0133431114020154,-0.0068844674395213,0.0175587695111171,0.00311242314660338,0.00440546016819797,-0.00817310454968787,-0.00892478627236157
"V32",-0.0102179540841691,-0.0047121156727562,0.0065488886491063,0.00441822974868739,-0.00845960508272368,-0.0311085234050462,0.0237305844255295,-0.0064394104655503,0.0106148190595591
"V33",0.000550004279870509,0.00166655355003109,-0.00876096589610583,-0.0036007381692592,0.00751657316273505,-0.00605428211548519,-0.0201383793139991,0.00985302407297844,0.00672117722812611
"V34",-0.00381863860544456,-0.000185890274967514,0.00282138165509822,0.0037194062401675,-0.00333686807408046,0.00309925680520455,0.00265174022683301,-0.00593142376873258,0.00274265703230721
"V35",0.00702088169219542,-0.00501305466764015,-0.00710892281031523,-0.00425458788657535,0.0105315495716652,-0.00720917029686254,-0.016215834474758,0.00340037019779647,-0.00265199431916662
"V36",0.00018420323092116,-0.00428468515023909,-0.00923552805762128,0.00625958301678641,0.00520876760402932,-0.00219297285601133,-0.000763199506309873,0.000863432971346077,0.00795794971139098
"V37",-0.0213258207845129,0.0101975318636918,-0.00381057785458755,-0.00253466258842232,-0.00655694602834634,-0.0143543614617581,-0.00837153616737969,0.00241122387414795,0.0178323849996496
"V38",0.00201186854265693,-0.0103677407408324,-0.0109469378360317,0.0129311061203902,-0.00218346724288351,-0.00229559465226505,-0.00515160005689662,0.0132845452304257,0.0122788088385909
"V39",-0.0081571791807771,0.00817180247158613,0.00236354569628505,0.0096646317760585,-0.00694982933854485,0.00295727688104688,-0.00119975748678302,0.0149657587462499,-0.00468657965196266
"V40",-0.00323332054182635,0.00238420840523114,-0.00515001014383604,-0.00156540319593857,-0.00411552101204238,0.00316604367032671,0.00391971482748381,0.00898708792611919,0.00780124551905881
"V41",-0.00556547755778747,-0.00649151045527277,0.0124609699498388,-6.99324513095722e-05,0.00770138486476821,0.00328040548286313,0.0033605163745553,-0.00787457123959692,0.00751371207132183
"V42",-0.00358818490455275,0.0014064965337755,-0.000610108312192857,-0.0031899825777971,0.00323307540315291,-0.00113861400343154,0.00372963123286776,0.00571730373193517,0.00198595785328491
"V43",-0.00560258002368823,-0.000218218297280577,-0.0150438540547049,0.00221943463916923,0.0111814008007305,-0.00135280243211809,0.00703283687964276,0.0010279113997221,-0.0196802784566456
"V44",0.00243718905893179,-0.000258609394591362,-0.00127182120675325,0.000776356811999499,0.00429378094154355,0.00393895292923603,-0.0037017908820985,-0.00174736554295716,0.00687930204922464
"V45",0.00424641815691034,-0.00329601026245308,-0.00481041721834725,0.00707221527266839,-0.00373508429955694,0.00473243456032765,-0.0042947928945656,-0.0036294951200689,0.0042188289850387
"V46",0.00963289155666701,-0.00535606346364455,0.00910430332706156,0.01080477553929,0.0204666729168769,-0.000232574309840419,0.00557719420860255,-0.00492758879848203,0.0130837294399328
"V47",-0.00185772569965634,-0.000581662263126351,-0.00053181649440016,0.000788124320592222,0.00311341450939047,0.000395748630031904,7.51774668949624e-05,0.000407446223532164,0.0020950789800205
"V48",0.00395722175972248,-0.00129666918162426,0.00154196387550328,-0.00220201015554835,-0.00203782753823496,-0.0167835333918168,-0.00916233827658765,0.0114510294047167,0.00184656386459442
"V49",-7.02661694798769e-05,-0.00158933595416648,0.000156609887049059,-0.000684316685516997,0.000818938573526372,-0.00178577085352014,-0.000453058229749345,0.000780719792684625,0.000296697488753655
"V50",-0.00400189514383568,0.00456868884872411,0.00578275899686709,0.00210968159971435,0.0125455496399575,0.000727158629486678,-0.00908235459463029,0.00570823076226665,0.00156547484127149
"V51",-2.16688036451901e-05,-0.00379506778738438,-0.00521047665152923,-0.00652880030461671,0.00960208474482372,0.0152784234844004,0.0117699866395152,0.00523330249657616,0.00276863616688691
"V52",-0.00179056928937426,0.00342519942260915,0.00636254250980275,-0.00738591954709543,0.00518277890088057,-0.00331769202858434,-0.0069202571670598,0.00433640787121024,-0.00268907698141777
"V53",-0.00527393040103997,-0.00291357200535636,-0.00269967502896797,0.00133235656826334,-0.00203422742996473,2.89432963831325e-06,-0.00387172432345368,-0.00191228141116087,-0.000107155828545589
"V54",-0.00716288261383008,-0.00391068603631869,-0.00107890741947495,0.00150953981155446,0.00318662720582597,0.00110565145013666,-0.0013049602946338,6.04692797999142e-05,0.00687856185810961
"V55",0.0034270139533619,0.00247196953454811,0.00373286280552066,0.00450294246750232,-0.000238073421439092,0.000673999980297378,0.000565538357513583,-0.00345773929491597,0.00854685982809546
"V56",-0.00714211381723685,0.0151448275914741,-0.00313906255797581,-0.00265550134755027,0.00578854796099125,0.000675977978034488,-0.000428567796454434,-0.00666023796991087,-0.0030803622289231
"V57",0.00531412275067891,0.00840686467980529,-0.000582627818425904,0.00185454259471885,-0.00633297497856673,-0.00312163337365376,-0.00429937227487421,0.00318728204101375,-0.000468372303406246
"V58",0.00501892174052941,0.00612919722806416,0.00701257444008029,-0.00355256973178684,-0.00617317137586442,-0.00894813940675806,-0.00470111822040567,-0.00434699858782941,0.00246351113630361
"V59",-0.00500306316155205,0.0210226161700989,-0.0138144906866247,-0.00189286375600984,0.0139024041347795,-0.0101021745979456,-0.0039864389972979,-0.00678438483152589,0.00554597817213918
"V60",0.00618937963301589,-0.00559290554572559,0.00233863471346429,-0.00872009680821083,-0.00356011501458619,0.00352534029573795,0.00986832641768337,0.00818369065262001,-0.00494606680849152
"V61",0.0053194892737125,0.00266044273169323,0.00233509620249828,-0.00195755842142637,-0.00696607761052388,-0.00975296072810344,-0.00130983805116258,0.00991024779636817,0.0141685430444931
"V62",0.00475154053108658,-0.0110048226204076,0.00426198968701887,-0.0159206999439683,0.00320294067674534,-0.00223191144751559,-0.00660895383119704,0.015101989588408,0.00578748220189041
"V63",-0.00122224338126087,-0.000383365252399929,0.0107092226583717,-0.000449319867241761,0.00172607513574683,0.00644411229011861,-0.00138117761252148,0.0128713758332649,-0.0056795087063676
"V64",0.00511997566319739,0.00312671639181276,0.000857398432604339,0.00566277046801926,0.00308782924402985,-0.00469100095974172,-0.00406509012758653,0.000346355032002068,-0.00305713787531013
