"","X1","X2","X3"
"V1",0.00790322337280931,0.00941702124401472,-0.0150336071386244
"V2",0.0132425562557132,0.00740729051221748,-0.00032332405546822
"V3",0.00813184517397686,0.00180342685515449,0.000800198000346121
"V4",0.000429436422226601,-0.00088109725427835,0.00119356648635395
"V5",0.000586478887865272,0.00296489045450629,-0.000160961119969881
"V6",0.00155823185964937,0.000675694761342656,-0.00240743702337248
"V7",-0.0154470641114377,0.00842077609847707,-0.00902774333771354
"V8",-0.0036456658019271,0.0104818971493735,-0.00381962167327152
"V9",-0.00942755000071443,0.000587889846816862,-0.00104077379343319
"V10",0.0075236218133224,0.00109310466644344,0.00336505237797469
"V11",-0.0055332031566613,0.00147902596502699,0.00987100058215
"V12",0.00340098560084592,0.00454012514748297,0.00654927869339189
"V13",-0.0111607950819336,0.00260734750328628,0.019420353921175
"V14",-0.0154242520983738,-0.00409111709072785,-0.00898348801358065
"V15",-0.0053832384478268,-0.00536288960065325,-0.0121702066534183
"V16",0.000324587252198969,0.000236469357852239,-0.000290017343223151
"V17",-4.84940846048719e-05,0.0101438332575512,0.00109269466898938
"V18",-0.000607205727003999,0.00135772220763461,-8.72761370730293e-06
"V19",-0.0035509383269563,0.00858417539929547,-0.00178088331243555
"V20",-0.000473303873156177,0.00595943945369579,0.00583589652521071
"V21",-0.00381693345002566,0.00735467193662985,0.00171710297894025
"V22",0.00675932960174385,-0.000372799471494034,-0.00847721821289305
"V23",-0.0122246616827972,-0.000833290706459227,-0.00174165252797186
"V24",-0.00336762315109593,-0.00373663400056137,0.000826641373604938
"V25",1.62332561410678e-05,0.00248043283099258,0.0100510405130067
"V26",-0.00282584775645998,-0.01072504611052,0.0001638119323066
"V27",-0.0108923802931224,0.0114725341659802,0.0162789541950711
"V28",0.00326517319759786,-0.00220449818695752,0.00276667963803644
"V29",0.000363702630104198,0.00597839573963309,0.00398622977098347
"V30",-0.00525614790505824,0.00410692927116251,0.000174423407469328
"V31",-0.00872980666360947,-0.00552521944755746,-0.0087850363010704
"V32",-0.00460093447997428,0.00585990311757422,0.00693362075882812
"V33",-0.00768811005652599,0.00626866196387696,-0.00118353844024205
"V34",-0.0061598122441744,0.00954155158051813,0.00359319893874379
"V35",-0.00419804046727257,0.00708063475752768,0.0110506030328097
"V36",0.00353849667794965,0.00749994688465552,-0.00350689677126349
"V37",0.000333140879305941,0.00975646381614949,-0.00642153848963565
"V38",-0.00346441364885856,-0.000531480904979823,0.00116108947269795
"V39",0.00309150594162046,0.0010294887022862,0.00034328276012555
"V40",-0.00686702255111499,-0.00462300712723412,0.0064409948333988
"V41",0.00692904831937882,0.000860685501846823,-0.00988406518443258
"V42",-0.000790874890817786,-0.00325374363898356,-0.00480311391975503
"V43",0.00242421583416141,-0.00118500255209659,-0.00360300034362131
"V44",-0.000540208804066449,0.00144838146160127,-0.000373884146989125
"V45",0.0189962909716968,0.00694081918987548,0.00558069902061362
"V46",-0.000481009369110273,0.00216412114480004,-0.00716027571636414
"V47",0.0176991655923263,0.0108417599703232,-0.00312218717501094
"V48",-0.00129685812695799,0.0143589654225293,-0.00334972970647463
"V49",0.0165405710951703,0.00748470942204138,-0.010711384025826
"V50",0.0031654919226859,-0.00239682322302009,-0.00210926901379039
"V51",-0.00713540338904232,-0.0171254672214254,-0.00650722657863905
