"","V1","V2","V3"
"model",1,1,1
"K",3,3,3
"threshold",0.1,0.2,0.01
"LL",-25081920.562101,-25916991.179037,-21811194.5700094
"BIC",-53722826.6974164,-54434931.8323596,-57300955.2343599
"ICL",-53722826.6974432,-54434931.8323596,-57300955.2343599
"rank",1,2,3
"originalOrder",2,3,1
"complexity",510424,373024,1961758
