"","X1","X2","X3","X4","X5"
"V1",-0.0110213233768691,0.00964907507864442,0.0129212654542413,0.000546464860430596,-0.0086684118971709
"V2",-0.00657533647803375,0.0047100416721136,-0.00582503500465493,0.00374630782263482,-0.00083049958501651
"V3",0.00814775790017551,-0.0016381388957236,0.00508534033767058,0.00832551768411561,-0.00939324839429366
"V4",-0.00387577651290893,0.00306711950712161,0.00572571020691816,0.000897696990466187,0.00350212844665527
"V5",-0.00164768023257143,-0.0064801221504622,-0.0143093608004246,0.00511549353061395,0.002553089960419
"V6",0.00647771914104575,-0.0091385433339722,0.000784611239660067,-0.0195491818177563,-0.014176145525151
"V7",0.000238472708698787,-0.00595202944904518,-0.00543248138017793,0.00456117187092392,-0.00630300432701351
"V8",-0.00419580255017412,-0.000765006638278973,-0.000830706865294295,-0.000662645873281581,0.00144127616893544
"V9",0.00117478176654703,0.00134191150871025,-0.00292254736079112,-0.0170839724181152,0.0124239413148326
"V10",-0.00243178918465748,0.00983484623891462,-0.00267301564075667,0.0144950577208341,-0.00079703893524913
"V11",-0.0031890869217554,-0.00922031985175363,0.0112597541898334,-0.0028900833234668,-0.000629115058600832
"V12",-0.00620614303495718,0.000376629069457043,-0.01411358706912,-0.00869138823217901,0.00519459290905101
"V13",-0.00957929494617197,0.00147529790409396,0.00306507290084009,-0.00977642688287057,0.00135950612969189
"V14",-0.0016737911728477,-0.00170128978478799,-0.00536057136897682,0.00878653297495856,-0.00775898631524626
"V15",0.000825100051436327,0.000540160615880049,-0.00365029899388422,0.00604043986886451,0.00702225706847138
"V16",-0.0128058170229526,0.0183460284888766,0.00342196510815787,0.00360679631422679,0.0187893615522806
"V17",-0.00191271250111978,0.00741735898270319,-0.00387639043241852,-0.00804749125233003,0.00287114121540628
"V18",0.00214276004214622,-0.00332839617785483,0.00317048592300207,0.00194514881143751,0.00162199569031919
"V19",0.00618883886614086,-0.0105829760886086,0.00802141777572371,0.000880270142548326,-0.00668114385755896
"V20",0.000706792530012605,-0.00456876230677672,0.0019584324988527,0.000131633195841371,0.00930287146350191
"V21",0.00799026219122266,-0.0114747170128931,0.0131603857254638,0.00397256307505172,0.00388210209511422
"V22",0.00396958773079503,0.000892020929006227,-0.00147137981794044,0.00609271216390665,0.00612740844566978
"V23",0.00583308581012322,9.18925243944892e-05,-0.0091672072829045,-0.00498320631547941,0.0153365562968277
"V24",-0.00522881734862903,0.00899102637782069,0.00591428878875783,-0.0142318325090171,-0.00343221595632277
"V25",-0.00580736460656231,0.0269821136674087,-0.000481569216889793,0.00557421115042218,0.0147150627851034
"V26",0.000239045856995431,0.0113600580554779,0.00651142017898224,-0.00946058710474758,0.00392330286689248
"V27",-0.0145873767215148,-0.00957321404835104,-0.00590554064150731,-0.0142110204439857,0.00692562370388517
"V28",-0.00677826301729361,0.0155868779801771,-0.0144124995000077,-0.0146490736680598,-0.00293442023585933
"V29",-0.00641700407679672,0.000197062039100441,0.00378094013900339,-0.0103151547123837,-0.000318279149462472
"V30",0.00120844110420482,0.00299396558948362,-0.00610149531732514,-0.016914896975075,-0.00230362274997636
"V31",0.00453796866532484,0.00842676540659242,-0.00553431158689067,0.0126687721870578,-0.00952344117575149
"V32",-0.00900371097676483,-0.0051717635352921,0.000199993192360655,-0.00778456768027953,0.00406849527973343
"V33",-0.00447847322149877,0.00323266957310942,-0.00897035644564798,-0.00249805133174064,0.00267677919304374
"V34",0.00104988543301985,0.00472618990794462,0.00448939378952102,0.00757951979841961,0.0108095202829979
"V35",0.00305552891677448,-0.00223437139823377,-0.00220653258219747,0.00392271712276825,0.0126876500932931
"V36",0.00547126164331741,-0.00853865191535802,0.00842411013372749,-0.00102236076227814,0.00318904202833506
"V37",-0.0156917487736969,-0.0141741381376721,-0.00625853881828792,0.0051720529480694,0.00246903911951333
"V38",-0.0109568063988346,0.00510381244315378,-0.0155518671831822,-0.011779792779733,0.00495507834586782
"V39",0.000871191877636234,0.00508058102536181,-0.0215627821713442,-0.00262912648352325,0.00428337295901286
"V40",0.000921742932328329,0.0030959015412662,-0.0129338977804221,-0.00145292877251376,-0.00135584552563807
"V41",-0.00734042020135725,0.00117558761267958,-0.00184792032442584,-0.00446287334441655,0.00421693546265938
"V42",0.00206551462816685,-0.00435310310803943,0.00826639067498637,0.00397040775485876,0.00603272563252502
"V43",0.0042836748847835,0.00727439912665711,0.000820919017494569,0.00820449531725645,0.0100243064844488
"V44",-0.00568160030407625,0.00435808806864974,0.00446662580805052,0.00854899443389659,-0.00448665710808889
"V45",-0.00789776430577471,-0.00102308657566874,-0.00116233570716786,0.0027742861882994,-0.0108917949445165
"V46",0.00124096811754025,-0.00277419203492326,-0.000179851288766527,0.00680106872118202,-0.00271701711005285
"V47",-0.00293075068765349,0.000660452210193137,-0.000182607077004455,0.00141202947992648,-0.0044030150742317
"V48",-0.0013897052970334,-0.00351309108351247,0.0129028949279549,0.0180146882280227,-0.00710055644301718
"V49",-0.00598899771659404,0.00671392511637878,-0.00424730442272288,0.00689014835355115,-0.00161563204231012
"V50",-0.000457317555552644,-0.00206519827980882,-0.00492826226852118,0.00768006732466627,-0.00399091062288229
"V51",0.0142213818345103,-0.00426315874551335,-0.00170588089464406,0.0116141305418896,0.00122212586045134
"V52",-0.0025148624582394,-0.00599657973518746,0.00461449571561795,0.00771589989013382,-0.00514953310936032
"V53",-0.00414282827060275,-0.00645053189653127,0.00200509763235706,-0.00203612205952067,-0.000894616212609981
"V54",-0.0057431263886758,-0.00572761838484742,0.00152434261653775,0.00116351866039423,0.00356191545086983
"V55",0.00410300526802763,-0.00275948539103602,0.00868546887837126,-0.000959742595954786,0.00314267119580759
"V56",-0.00787505261083371,0.00251696474875238,-0.00244436264367377,0.0014370687649265,0.00693662470937378
"V57",0.00133541787565787,0.0041289159494271,-0.00916234946191768,-0.0011177680136976,-0.000314113545304549
"V58",-0.00365599100104356,0.00191739884172041,-0.00152321851804297,0.00480863902001341,0.00322897511033626
"V59",-0.00515957298092849,-0.00563815536796446,-0.00613855499743962,-0.00208484196632129,-0.00772519555459595
"V60",0.00567776444199432,-0.00320596338688416,0.00855425302423248,-0.00244844779722584,-0.00525022487647171
"V61",-0.0032503994788066,0.00783615498561642,0.00630202514492937,-0.00735870595157692,-0.00130125787572539
"V62",-0.0112516245953743,0.00471616710856843,-0.00548831517523996,-0.00582362081795819,-0.0101917803474181
"V63",0.00785099360676981,-0.0318917638398766,0.0084536362363892,0.00135870138986501,0.00112962551697902
"V64",0.00777526215881334,0.00093603853134786,-0.0104568924182794,0.00819506596200682,-0.0015333168924725
"V65",8.40838104894374e-05,0.0178206229797639,-0.00501156190236279,-0.00310915196854169,0.0174405757469502
"V66",-0.0101104984629748,0.00407003830505322,-0.0052032267168391,-0.0053705016158659,-0.00942480380531741
"V67",-0.00522359766234403,-0.000804177485446285,-0.00055211016760655,0.00190454246454227,0.00370672320760001
"V68",-0.00238705239139281,0.00301921191191045,0.00168610206398021,0.00157581452456158,0.000558574440219915
"V69",-0.0035638963975205,0.00550173839796932,-0.00300289116761782,0.0030628890589418,-0.00380343639537829
"V70",-0.00177588022797263,-0.00134389728417436,-0.00170253776420547,0.00293889157169869,0.00555268246585445
"V71",-0.00745172649375408,0.000612960801506057,0.00140305739184563,0.00286704208642321,0.00725864450507371
"V72",-0.00765145202557367,0.00946838787397464,-0.0158563834992145,-0.00644245538486272,0.00818727225693188
"V73",0.0110280574168553,-0.0111379073295527,-0.000285046635209374,-0.0045367058973074,0.00534337146814666
"V74",-0.00540122357130725,-0.00501142726248844,-0.000846092590416987,-0.000931430362214742,0.000740592705159145
"V75",-0.00831465685191229,0.00756585814143326,-0.000567584935681831,-0.00842660313413635,0.00211682918235501
"V76",-0.00327537210192651,0.000564845302260145,0.000213665581737214,0.0019296205926184,-0.00113504874107817
"V77",-0.0057348028757308,-0.00449240488806536,-0.00141713986549853,0.00171840826251085,-0.00484379033401401
"V78",0.00457068863291533,0.0112029082984654,0.00429617519953808,0.00759535498918226,-0.000845156929092121
"V79",-0.00407427425405655,0.00353084697071766,0.012503992871238,0.00027854857846767,-0.0036727802967628
"V80",-0.000691185195309565,-0.00516870122521494,0.003682852687206,0.0174112821414159,-0.0145958332116767
"V81",0.00110068722548463,-0.00182375906738921,0.0151613499356108,-0.00122141850171479,0.000761212516851087
"V82",-0.00227235839833044,-0.00233215523449331,-0.00367898076910933,0.00350912766187833,-0.00086594189657925
"V83",0.00084937207799309,-0.00112479405588188,9.32346931737688e-05,-0.000950039590251048,-0.000474404903794012
"V84",0.000856411223396855,-0.00545907977794976,-0.00388368829026357,-0.00511291610695327,0.00287824578701538
"V85",-0.00198333620115243,-0.000236879539889189,0.000646786516256222,0.000403640524217467,0.00132785934528019
"V86",-0.00614416327112568,0.000172070081837446,0.00148605621913988,0.00315537597665353,-0.0229418542746671
"V87",-0.00239655020730591,-0.00215687793545716,-0.000225805131197266,-0.00294767843091714,-0.000316671034943937
"V88",-0.00138911638787813,-0.000832979063061833,-5.3505950808723e-05,-0.00194535437550672,-0.00216555984696334
"V89",0.0191555526293691,-0.00525381418635685,0.00163467120734563,0.00983639467689702,0.00340848400365399
"V90",0.000192070818118412,-0.00210217850202968,-0.000972653766634897,-0.00519026698269497,-0.00153515245742004
"V91",-0.012506238885577,0.00648365238630124,0.000994601152726731,0.0125370265060045,0.00147622432764796
"V92",0.00883214815562607,-0.0170202089636085,0.00781542055162323,0.00465609035210636,-0.00292607063270378
"V93",-0.00375823824014599,-0.000473816601047143,-0.00300765395091156,0.00463558811282683,0.000768475099282093
"V94",-0.00142642393038145,0.00413427145549876,0.00515476078241508,0.00332039091293541,0.00101754184762446
"V95",-0.00208217447935709,0.005474542987746,-0.0045943689807977,0.00573705151224903,0.00349481529605722
"V96",0.0118414018357679,-0.0155826999088536,-0.00265193643463227,-0.00665171913926618,-0.00412654401430036
"V97",-0.000750438046553882,-0.00769694279530552,-0.0041669594664396,-0.00491640520247255,0.00259306646542639
"V98",-0.0126249022530457,-0.00204403019565836,0.0114140044504342,0.000762047121065376,-0.00843085253766948
"V99",-0.000292411251558577,-2.74944463995968e-05,0.000959981328408789,-0.00289760210742571,-0.00137904787204703
"V100",-0.0055684775016118,0.00482316227086328,-0.00304961159117254,-0.00357719533702126,0.00427682525126287
"V101",-0.0161346638932015,-0.00979100198142813,0.00118278771670427,0.00151753991904024,0.00283088651489002
"V102",-0.0108714494526129,0.00198497463208337,-0.00427471690660015,-0.000261086172600879,-0.00229579934321573
"V103",0.00571478253424142,0.00839292734779038,0.000638408140951749,0.0106511266880122,0.0089151618006442
"V104",0.0104049090071909,-0.0274354025668437,0.00624321828225253,0.00874695628900277,-0.0107014404077444
"V105",-0.00307190701133255,-0.00295089935069548,-0.00409522483614337,-0.00176320202523049,0.000872901219851167
"V106",0.00640943524140863,-0.00533486583790388,-0.004738362664494,0.00443631935529692,0.0129870165285616
"V107",-0.00212758093137071,0.0100678491411058,0.00603435520923378,0.00711277980348169,0.00187450151390591
"V108",-0.00705602849214595,-0.00416600889413516,0.00214271978119052,-0.000533198361998946,-0.0142060709981515
"V109",0.010386298455913,0.00279845904262747,-0.00844855054717506,0.00561996276475599,0.0145291135599935
"V110",-0.00557885134083013,-0.000795028605985736,-0.00481404225848625,-0.00276104008690573,0.00406540792696617
"V111",-0.00720190130996645,-0.00497593191303045,-0.0123524793987678,-0.0102785680463878,-0.00318295494543733
"V112",0.00288402164748651,-0.000594719643005829,-0.0087038681679702,0.0101544485422864,0.0239443761373639
"V113",0.0100699901116811,-0.0165213938251421,0.00343664467760257,-0.00427889953014039,0.00521877762232761
"V114",0.00906421986008753,0.0055413765715314,-0.0207827348492306,-0.0185767994296439,0.0103182153810483
"V115",-0.00241470439311006,0.00204051145228042,0.00636305367905142,0.00386730167281245,-0.00281440119138967
"V116",0.000764365002611746,0.0023549125534527,-0.00447192944762348,-0.00701490903255138,-0.00143813765564964
"V117",-0.00772953390318823,-0.00670190242919085,0.000975670856440515,-0.00148284177778923,0.010655893646037
"V118",0.00910415002992042,0.00310512666845714,-0.00821203117957355,-0.00509390970251631,-0.00202125936833673
"V119",-0.00436439347732708,-0.00380902497972823,-0.00436999415998344,-0.0102204324018775,-0.00314535774406094
"V120",-0.00329272705529981,-0.000808488807216503,0.00162605595834437,-0.00159340348441791,-0.0038676096635393
"V121",2.12864975223888e-05,0.00538367928856275,0.0038657951817784,-0.00464115031287499,0.00339617156945336
"V122",-0.00232928681665736,-0.00121488075845872,-0.00269601249771748,-0.000205254728866756,0.00243438150304489
"V123",-0.0091662507604321,-0.00365217709049839,0.00538448264071296,-0.00148604972206341,0.00701279115646025
"V124",0.0103576759012783,0.0184412153551597,0.000293110191218797,-0.00736793502006732,0.0035275909289584
"V125",-0.00137161479122074,0.000135945738347335,0.00110975994629377,0.00167750893281838,0.00904820485610569
"V126",-0.00472520472711629,-0.00626273691195451,-0.00209552567842136,0.00568605978114218,-0.000239506866951762
"V127",-0.00462663588366084,-0.000267114404043452,0.00150952967364089,-0.0073943728518665,0.0109293216518802
"V128",-0.000618383690253896,-0.00455352366762381,0.00113773192566284,-0.000269379218334352,-0.00421763365161383
"V129",-0.00658179717819051,0.00452722228545068,-0.00226809904603191,-0.0039964461848068,0.00653016074079218
"V130",-0.00898849052447613,-0.00991212479799769,-0.000627906744144743,0.00544447323736706,-0.0007027988278636
"V131",0.000335977612841603,0.00326913654286461,0.000416838564404216,0.0037956394009475,0.000508273554169494
"V132",-1.89308691559526e-05,0.00891263351602316,0.00423088745363266,-0.0283602621336231,0.0139626243122202
"V133",-0.00755733941502802,-0.00859461926607863,-0.0121919783933604,0.00861944529306879,-0.00478354999011026
"V134",0.00721447938476219,-0.001781541028999,0.00768865057530923,-0.00611528202486971,0.00867690809164195
"V135",-0.00335910990322158,-0.000892543682903284,-0.000109803449536083,-0.00299550541099853,-0.00360716880508093
"V136",-0.00253610176701497,-0.00201688102756198,-0.000508073142903248,-0.000416052432082447,0.00286642621072371
"V137",0.0173864508844106,-0.00970213813915158,0.00758157117680166,0.00634434783025591,0.00984952247030417
"V138",-0.00687479767188815,-0.00457524596178407,-0.00285811412490099,-0.0140477383378611,0.00279638301788329
"V139",-0.00132556774219523,0.00440622054175234,0.0090942344725377,0.00924785795292222,-0.00332647843582503
"V140",-0.00860788218528403,-0.00554839784304825,0.00342060352963321,0.0108988646458487,-0.00706492259683589
"V141",-0.00591176574318443,-0.00236206407262291,-0.00285158006635783,0.00344268031493886,0.0128027903672531
"V142",0.00081204732702648,0.0075176291034823,-0.00865645235973254,0.00502965789756776,-0.00130789892165062
"V143",0.00861559796376789,0.0176399834196231,-0.00388663574410345,0.00404918489142758,0.00432990071669996
"V144",-0.0015220627992893,-0.000224030441875248,-0.00245826777662723,-0.00821513278247081,-0.000546950488367026
"V145",-0.00405596528599768,-0.00247635965753969,0.00021744162769662,-0.000677357950841619,0.00166911440699207
"V146",-0.00165905148907876,0.00186468643300408,0.00073882750317,-0.00300179426553629,0.00141008372871952
"V147",0.00113019736188212,-0.00687004082371033,0.00946602599929182,0.000805651080647416,0.00271363405278862
"V148",-0.00706437151273726,-0.00431872844214406,-0.010367760781477,-0.00746064932969456,0.000481058238554252
"V149",-0.00225625647835486,0.00315293136106441,-0.00324169995035588,-0.0199179293883874,0.00205124330965361
"V150",-0.00577322963249585,0.000274788143237027,0.00719938223771705,-0.00856709975301371,0.00296467466272805
"V151",0.00415539025353939,-0.00600440710063987,-0.00226262058702369,-0.0253563012673518,0.00445772682092052
"V152",-0.00575218214855466,-0.00729165231665507,-0.006059709367833,0.00387900413907616,-0.000994811770532907
"V153",0.00830835751155873,-0.0164743414397579,0.000245327048679205,0.011330101624274,0.00215833181845983
"V154",0.00226310378154984,-0.00795735160571428,0.00318218968411996,-0.0228303850563506,0.00595653242608206
"V155",0.00222126983134455,0.0183786449118304,-0.0134371962882629,0.0104808215397413,0.0219003429517522
"V156",0.00338638046736435,-0.000100508683097623,-0.00118358435705152,-0.00991039238945453,0.00166481926790986
"V157",0.00849610677447652,0.00548552494578182,0.00380777919973241,-0.0159574235832853,0.00533265809454947
"V158",-0.00129451366614091,0.000560178704193801,0.00273058014669106,-0.00407184983723691,-0.000835127637966007
"V159",-0.00023423510573686,-0.00492211109132422,-0.00522171315675359,-0.0112620650348825,0.00294779562214653
"V160",0.000257063953999572,-8.67169872293666e-05,-0.00294462154738558,0.000345777871092523,-0.00307974325842544
"V161",-0.00387294585785493,-0.00335149779624947,-0.00410591648778418,-0.00488649300010349,0.000637761767645321
"V162",-0.00623538064369261,-0.0048850956797644,0.00824664175389565,-0.0128220282978201,-0.00190500556489728
"V163",-0.00213667620842401,0.00330583102842475,0.00330515704312785,-0.00104174211512359,-0.00240861684998078
"V164",-0.00608384749134927,-0.00324269492937438,-0.00139557643344007,-7.74789262002806e-05,0.00123110225900581
"V165",0.0046861326053321,-0.00753311441050425,-0.00935789459752449,0.00439656165497865,0.000885822264756266
"V166",-0.00187534335772859,-0.00237309716312132,0.00076467013228188,-0.000495295965628027,0.00204031718290186
"V167",0.00172545993328385,-0.00585945883066631,-0.000275691856307496,0.00114241358231206,-0.00717992440699814
"V168",-0.00524626590220849,-0.0022640534721784,0.000175413610718485,0.000339569898446906,0.00877328969415886
"V169",-0.00604047180879555,-0.00176146590348926,-0.00387432640101804,-8.89666904927277e-06,0.0155624959014936
"V170",-0.00262336351256783,-0.00523262882684037,0.00307589565679783,0.00470603358699381,0.00427224156220165
"V171",-0.0102632955248019,0.00206171650595994,-0.00600466224511753,-0.0187516571761865,-0.0060883316926809
"V172",-0.0115410068170719,0.00260967687392527,0.000372750865414069,0.00481163705795246,-0.00452164997521408
