"","X[[i]]"
"1",10
"2",5
"3",10
"4",7
"5",4
"6",8
"7",8
"8",4
"9",1
"10",3
"11",10
"12",5
"13",10
"14",10
"15",5
"16",8
"17",8
"18",8
"19",8
"20",8
"21",8
"22",8
"23",6
"24",3
"25",1
"26",8
"27",5
"28",10
"29",6
"30",8
"31",8
"32",8
"33",6
"34",8
"35",8
"36",8
"37",6
"38",4
"39",7
"40",8
"41",8
"42",8
"43",8
"44",8
"45",10
"46",8
"47",10
"48",10
"49",10
"50",10
"51",5
"52",8
"53",8
"54",5
"55",6
"56",8
"57",8
"58",8
"59",7
"60",3
"61",7
"62",5
"63",4
"64",8
"65",8
"66",10
"67",8
"68",5
"69",8
"70",8
"71",5
"72",7
"73",6
"74",8
"75",8
"76",6
"77",8
"78",8
"79",8
"80",8
"81",5
"82",8
"83",3
"84",6
"85",8
"86",6
"87",6
"88",6
"89",8
"90",8
"91",5
"92",6
"93",8
"94",8
"95",8
"96",3
"97",8
"98",8
"99",10
"100",3
"101",5
"102",8
"103",8
"104",8
"105",9
"106",8
"107",8
"108",8
"109",8
"110",10
"111",8
"112",8
"113",8
"114",7
"115",8
"116",8
"117",8
"118",8
"119",10
"120",8
"121",5
"122",8
"123",8
"124",8
"125",10
"126",8
"127",8
"128",10
"129",8
"130",8
"131",4
"132",10
"133",8
"134",8
"135",8
"136",8
"137",5
"138",5
"139",5
"140",8
"141",5
"142",8
"143",8
"144",5
"145",8
"146",8
"147",8
"148",5
"149",5
"150",8
"151",5
"152",8
"153",5
"154",8
"155",8
"156",5
"157",8
"158",5
"159",8
"160",8
"161",5
"162",5
"163",10
"164",7
"165",8
"166",5
"167",8
"168",5
"169",10
"170",5
"171",4
"172",5
"173",8
"174",5
"175",7
"176",8
"177",8
"178",8
"179",5
"180",5
"181",6
"182",3
"183",8
"184",8
"185",5
"186",8
"187",6
"188",8
"189",8
"190",8
"191",5
"192",5
"193",5
"194",3
"195",10
"196",8
"197",8
"198",8
"199",6
"200",8
"201",8
"202",8
"203",3
"204",8
"205",8
"206",8
"207",8
"208",8
"209",8
"210",8
"211",10
"212",8
"213",10
"214",8
"215",4
"216",8
"217",8
"218",8
"219",8
"220",8
"221",8
"222",8
"223",8
"224",8
"225",5
"226",4
"227",4
"228",4
"229",1
"230",4
"231",6
"232",8
"233",8
"234",8
"235",4
"236",8
"237",8
"238",8
"239",9
"240",4
"241",8
"242",8
"243",5
"244",8
"245",8
"246",8
"247",4
"248",4
"249",6
"250",8
"251",9
"252",8
"253",9
"254",8
"255",8
"256",1
"257",4
"258",8
"259",8
"260",5
"261",8
"262",8
"263",8
"264",8
"265",8
"266",4
"267",8
"268",5
"269",8
"270",4
"271",8
"272",10
"273",8
"274",5
"275",4
"276",5
"277",8
"278",8
"279",6
"280",4
"281",8
"282",5
"283",8
"284",8
"285",8
"286",7
"287",8
"288",7
"289",8
"290",4
"291",10
"292",5
"293",5
"294",8
"295",8
"296",8
"297",8
"298",8
"299",8
"300",8
"301",5
"302",8
"303",6
"304",8
"305",8
"306",10
"307",4
"308",8
"309",10
"310",5
"311",8
"312",8
"313",7
"314",10
"315",8
"316",10
"317",8
"318",8
"319",8
"320",5
"321",5
"322",10
"323",5
"324",8
"325",6
"326",1
"327",8
"328",8
"329",10
"330",8
"331",8
"332",5
"333",8
"334",10
"335",8
"336",8
"337",8
"338",8
"339",6
"340",8
"341",10
"342",8
"343",8
"344",8
"345",6
"346",8
"347",8
"348",7
"349",10
"350",10
"351",7
"352",10
"353",8
"354",8
"355",7
"356",8
"357",8
"358",7
"359",7
"360",4
"361",7
"362",5
"363",10
"364",8
"365",8
"366",8
"367",5
"368",8
"369",8
"370",8
"371",8
"372",8
"373",8
"374",6
"375",8
"376",8
"377",8
"378",3
"379",8
"380",8
"381",8
"382",3
"383",8
"384",3
"385",6
"386",5
"387",8
"388",8
"389",10
"390",10
"391",8
"392",10
"393",8
"394",10
"395",8
"396",8
"397",3
"398",8
"399",3
"400",3
"401",3
"402",3
"403",10
"404",6
"405",10
"406",8
"407",8
"408",3
"409",10
"410",10
"411",10
"412",10
"413",1
"414",8
"415",5
"416",8
"417",10
"418",10
"419",8
"420",8
"421",10
"422",8
"423",8
"424",8
"425",5
"426",8
"427",8
"428",8
"429",8
"430",8
"431",1
