"","X1","X2","X3","X4","X5"
"V1",0.0311498759877449,0.0136952713494128,0.00315561382511531,0.023750401724892,0.0180994711637552
"V2",0.00270934688975149,-0.00441374410770384,-0.00337765945305305,-0.0090067187150959,0.00197798470922621
"V3",0.00124970683520327,-0.00438130438436504,-0.00582469291361482,-0.00437767008326552,0.000183785364364221
"V4",0.00171483657703702,-0.00082368830981539,0.0015973670284949,-0.00223892588321421,0.00123106245270503
"V5",0.00143897741069237,0.00487870602049083,0.00487701096208607,-0.00378158053051955,-0.00380667878211223
"V6",0.00498392414679358,-0.00241383947447251,0.00106618127375209,-0.0125651036247884,0.00279506234967262
"V7",0.00139097882214021,-0.000114828707604625,0.00314062201451509,-0.00995556573819653,0.00219173227468007
"V8",0.00496722716695451,-0.00417117455658304,-0.00199364113603265,-0.0115883086430287,-0.00519985918081488
"V9",0.0131066307274522,-0.00694155020889517,0.00575635515678602,0.015707351896307,0.00780093708732556
"V10",0.000406253734851625,-0.000235076583501309,-0.000157448429067308,-0.000496119921077874,-0.000788984200768675
"V11",0.000846676851563403,0.00142095582295135,-0.000687834252153375,-0.00131488241958998,-0.00134685712531911
"V12",0.00837073706127793,-0.00362074900192175,0.00143364191669698,-0.0059133686367267,0.00396433297870175
"V13",0.00342666826937168,-0.00215589694202021,0.00177887527523985,-0.00736609479794555,0.00616566668565334
"V14",0.043367071977973,-0.0256690151154027,0.0195890703107188,0.0575281956562778,0.0175497697986548
"V15",0.019411254738805,-0.00347298808308493,0.00116777971213389,-0.0294789169724153,-0.0132758849517216
"V16",0.0260735607022412,-0.0123390948750064,0.00364107980055577,-0.0403708011099533,-0.0237355293654008
"V17",0.053206286081139,-0.0314174223022814,0.0281110865943468,0.075676616065769,0.0320405848611684
"V18",0.0452225847842776,-0.0267368533207492,0.0208575694596658,0.0550830123300685,0.0155213223959674
"V19",-0.000249474894125456,-0.00206417935582272,-0.00390791980358903,0.000840795411390095,-4.82484727225896e-05
"V20",0.0012051419960208,-0.00265263621199959,-0.00289669730962947,-0.00138446679316955,-0.00342979204245051
"V21",0.00113650080704426,-0.00241746494179544,-0.00407107456323426,-0.00284152597376061,-0.00143417681749709
"V22",0.00236003494880488,-0.00383284859576281,-0.00528734058733195,-0.00216430839924824,-0.00512487082745486
"V23",0.00148727856807629,0.00290221195524554,0.012623513779491,-0.0129471517602137,0.0121931568043697
"V24",0.0233845723501333,-0.0089533801273549,0.00821828967659326,-0.0465881270767039,-0.00704859774134078
"V25",0.00161688969844764,-0.00105913132558604,0.000700143243075049,0.00124197101753713,0.000958955457387729
"V26",5.67395416771587e-05,-0.00118898474171559,-0.00217754527945749,-0.000502929786631923,3.08967251712096e-05
"V27",-0.000383100687248684,0.000161080856446093,0.000664577371160987,0.00042682933498214,0.000993163185339116
"V28",-0.000306766577871235,0.0108092308985612,0.0230088806132108,-0.00458512399672164,0.0098366399216545
"V29",0.00245217847917339,-0.00147126986509932,1.48277131516515e-05,-0.00802898640291745,0.00471721375640342
"V30",-0.000510124479231928,0.000194461381116991,0.000322878751950919,0.000704887047896846,0.000799003480690486
"V31",-0.000626431113789303,-0.000354255878605854,-0.000667746192687353,0.00137012796095433,0.00161991714253515
"V32",-0.000216418355443932,-0.000599420195876384,-0.00109969155736897,0.000582814177288581,0.000498574488475219
"V33",4.39625501838795e-05,0.00037655194969449,0.00138984810935963,0.00280025029946553,-0.00233743074237164
"V34",-0.00045695156942009,-0.000395398321377207,-0.000535634175705364,0.000696937390014128,0.000844979497756744
"V35",-0.00110397934712448,1.57501079541416e-05,-0.000475494340122173,0.00165058092640097,0.0023714603388758
"V36",0.00191840813356018,0.00457760852204736,0.000198697997963487,-0.00231556968216552,2.20406428138461e-05
"V37",-6.42691490501445e-05,-0.000489645226351237,-0.000486934127940385,0.000535383813234029,-0.000373357199120341
"V38",0.00303089065126682,-0.00191538939512028,-0.00129872146049409,-0.00289992122206271,-0.00381157099227761
"V39",0.00291867918097353,0.00460430518914661,0.00592881966687156,-0.007896863034211,0.00157966891501344
"V40",0.00163106286774065,-0.000257498697900334,0.000970228643515748,-0.00674819216079812,0.00338909878870414
"V41",0.000289109294732914,0.00114941113410206,0.00248635932993758,-0.000560186439128318,0.00346271927248971
"V42",-0.00102597882848041,-0.000571209441988631,-0.00103423903215693,0.00221934003353911,-0.00205328555566925
"V43",0.000290099861850812,-0.000948794518858879,-0.000358024282197275,0.000299139753596523,0.000640729481582923
"V44",0.00171414683834357,-0.00136246204917951,-0.000588407070669672,-0.00330362812647233,-0.000473086482281782
"V45",-0.000582238985130629,-0.000367181967373288,-0.000896684740047148,0.00127873234638169,0.00090803546857733
"V46",0.000559775655583217,-0.00154011498089371,-0.00217338194512252,-0.00374324326299069,0.00372566122702562
"V47",-0.000999435834295388,0.000716027826460779,0.0010751565921381,0.00247555630075384,-0.00187366780896663
"V48",1.66442773644646e-05,-0.00385449608822619,-0.00657567934986604,-0.00023625485762333,0.000186619777238052
"V49",0.00130670797287341,0.00272224871889957,0.00361903541137482,-0.0001983492577273,0.00687135625352157
"V50",0.00112701248139603,-0.000159864032859303,0.000350928056041696,-0.000560160342487332,0.0178664237978994
"V51",0.00195390285868078,0.00453591753991106,-1.58064193080645e-05,-0.00644893879632131,0.00534830974123538
"V52",-0.00120954363859984,0.0128388134874964,0.0158745541565549,-0.00101692446442218,0.00292526823552002
"V53",-0.00139209134571159,0.000750030638810007,-0.000241085847338897,0.00145370195017022,0.00214345607233098
"V54",-0.00118629425589327,-0.00287106414817841,-0.00810957889074194,0.00418626954791988,-0.00337394828010153
"V55",-0.000178968305826681,-0.00234947518619537,-0.00700365307458167,0.00020244275119162,-0.00316768350899012
"V56",0.000652630507611785,0.00150555502726241,-0.00509077652597136,0.000381862999773589,0.00226694805900322
"V57",-0.000266362482792279,0.00500414794958297,0.00764492490555864,0.00151690621309325,-0.00581792713838793
"V58",-5.24387522719373e-05,-0.00235983921566922,-0.00356654549356763,0.000932707492503528,0.00324022397564482
"V59",-0.000937279026610417,-0.00115146277577885,-0.00263010664032324,0.00154051589416898,0.00244629251246126
