"","X1","X2","X3"
"V1",0.000119063928603966,-0.00234400219899982,-0.000774786195460386
"V2",0.00854923871422774,0.0128347031343811,0.00124037771566687
"V3",0.0041976868284997,0.00850315653662666,0.00160080711897817
"V4",-0.00220126614851488,0.000513868844488708,0.00133346017559417
"V5",-7.7423710294786e-06,-0.0140021174801356,-0.0242158348140219
"V6",0.00291505003690366,-0.0102784699872259,-0.00578281005164499
"V7",0.00244519128854417,-0.00185209036338116,0.000538110759424094
"V8",0.000477510472039883,-0.000613301483666871,-0.0019001181257613
"V9",-0.000150962695301385,-0.000684929182464466,-0.000440018388809817
"V10",-3.72119852312107e-36,2.06688224617223e-36,3.65295527071593e-36
"V11",0.0305166122030573,-0.0189499951180072,0.00244164034298331
"V12",0.0023310342190923,-0.0048408314549711,-0.00302946429616033
"V13",8.07009742014893e-05,-0.000126838405726046,-0.000266318430994661
"V14",0.0016767118064561,-0.00273621807683471,-0.00422719751434778
"V15",-0.0639290954060437,0.0268983565071547,-0.00114228908757363
"V16",0.000459075435429897,0.0012115550410103,0.000458443531320733
"V17",9.67123604368792e-07,-3.01635359249522e-06,-9.40503681483644e-06
"V18",0,0,0
"V19",-1.11696518746559e-05,-1.11808856905623e-05,2.10663617265463e-05
"V20",0.00141684022008416,0.0019106945598443,0.00319363399302946
"V21",0.00504238828766664,0.0189503182293293,0.00263624573568515
"V22",0.00313514114394116,0.00942677150949881,0.000262382499944903
"V23",-0.00134144668301246,-0.00124402958042669,-0.00128308662711528
"V24",0,0,0
"V25",4.03758429299792e-05,1.06098995191326e-05,0.000233910242946985
"V26",0.00101063684190889,0.000921780413668276,-0.00041398233062882
"V27",-0.0002906822368602,6.80631813693267e-05,-0.0001743201609562
"V28",-0.00806038595504001,-0.00239080100124244,0.000719818136595442
"V29",0.00068665596409273,-0.000380604606541982,0.000790779689159274
"V30",7.36857902504399e-06,-6.2096293589725e-05,-1.24673825302457e-05
"V31",-7.90352759859742e-05,-1.09260103821532e-05,8.19671053028767e-05
"V32",-0.000359809478803261,0.000149459377981076,-0.000264004962038712
"V33",0.000412593766484408,-0.000856488786726047,0.000785925013527752
"V34",-0.000156137898727177,0.000496816162027737,1.89188429784307e-06
"V35",0.00068834222929708,-3.39431339681316e-05,0.00171105005367258
"V36",-0.0233506476883722,0.0045187326041458,-0.00815297526917497
"V37",3.87588648505508e-05,3.80177194536064e-05,8.4763746367532e-05
"V38",-0.00167647810781893,-0.00119221361241875,-0.000682808870183898
"V39",-0.00101478472780315,-0.00617495395299761,-0.016778665993372
"V40",0.000291366671885625,5.34869880158627e-06,-0.000190451680842019
"V41",-0.00931313973901597,0.00714423740395554,-0.00566341260386152
"V42",4.01384710434849e-06,1.6037208994082e-05,1.46334345232489e-05
"V43",-5.85928043574189e-05,-4.21613885303664e-05,0.000282934062443973
"V44",-0.00023079885066675,-0.000190576347551261,0.000261304234733052
"V45",-1.06033481014096e-05,-5.62028254306788e-06,7.08610079870796e-07
