"","X[[i]]"
"639",3
"640",2
"641",5
"642",2
"643",2
"644",5
"645",3
"646",5
"647",5
"648",2
"649",3
"650",2
"651",3
"652",2
"653",2
"654",5
"655",5
"656",5
"657",2
"658",5
"659",2
"660",5
"661",2
"662",4
"663",2
"664",4
"665",2
"666",2
"667",5
"668",2
"669",5
"670",5
"671",2
"672",5
"673",4
"674",5
"675",2
"676",2
"677",2
"678",5
"679",2
"680",5
"681",5
"682",5
"683",5
"684",2
"685",5
"686",5
"687",2
"688",4
"689",2
"690",5
"691",2
"692",1
"693",2
"694",2
"695",5
"696",5
"697",5
"698",2
"699",2
"700",3
"701",5
"702",5
"703",2
"704",2
"705",2
"706",3
"707",5
"708",5
"709",5
"710",2
"711",2
"712",2
"713",5
"714",2
"715",5
"716",5
"717",3
"718",2
"719",5
"720",5
"721",3
"722",3
"723",5
"724",5
"725",2
"726",2
"727",5
"728",3
"729",5
"730",5
"731",2
"732",5
"733",3
"734",5
"735",2
"736",5
"737",5
"738",2
"739",5
"740",4
"741",5
"742",2
"743",5
"744",5
"745",5
"746",3
"747",3
"748",5
"749",3
"750",5
"751",5
"752",5
"753",5
"754",5
"755",4
"756",5
"757",5
"758",2
"759",5
"760",3
"761",3
"762",2
"763",5
"764",3
"765",3
"766",2
"767",3
"768",5
"769",5
"770",2
"771",5
"772",3
"773",2
"774",2
"775",2
"776",5
"777",3
"778",5
"779",5
"780",4
"781",5
"782",5
"783",2
"784",2
"785",5
"786",2
"787",2
"788",5
"789",4
"790",2
"791",2
"792",5
"793",2
"794",5
"795",2
"796",2
"797",5
"798",5
"799",3
"800",5
"801",2
"802",5
"803",4
"804",5
"805",2
"806",5
"807",5
"808",5
"809",2
"810",2
"811",2
"812",2
"813",2
"814",5
"815",2
"816",2
"817",2
"818",2
"819",2
"820",3
"821",5
"822",5
"823",2
"824",2
"825",3
"826",2
"827",5
"828",2
"829",2
"830",2
"831",2
"832",2
"833",2
"834",2
"835",2
"836",2
"837",2
"838",5
"839",2
"840",2
"841",2
"842",2
"843",2
"844",2
"845",2
"846",2
"847",2
"848",2
"849",2
"850",2
"851",2
"852",2
"853",2
"854",3
"855",2
"856",2
"857",2
"858",2
"859",2
"860",2
"861",2
"862",4
"863",4
"864",4
"865",4
"866",4
"867",4
"868",4
"869",4
"870",4
"871",5
"872",1
"873",2
"874",2
"875",2
"876",2
"877",4
"878",5
"879",2
"880",2
"881",2
"882",1
"883",2
"884",4
"885",5
"886",4
"887",3
"888",5
"889",4
"890",4
"891",5
"892",2
"893",1
"894",4
"895",5
"896",2
"897",5
"898",3
"899",3
"900",5
"901",3
"902",3
"903",4
"904",2
"905",2
"906",2
"907",2
"908",5
"909",1
"910",1
"911",1
"912",4
"913",2
"914",4
"915",4
"916",4
"917",5
"918",4
"919",2
"920",5
"921",1
"922",1
"923",1
"924",5
"925",3
"926",5
"927",5
"928",4
"929",4
"930",4
"931",4
"932",4
"933",3
"934",1
"935",4
"936",4
"937",4
"938",2
"939",5
"940",4
"941",3
"942",5
"943",5
"944",4
"945",1
"946",4
"947",2
"948",1
"949",4
"950",4
"951",1
"952",5
"953",4
"954",2
"955",4
"956",4
"957",1
"958",1
"959",4
"960",1
"961",4
"962",4
"963",1
"964",4
"965",4
"966",4
"967",4
"968",2
"969",5
"970",1
"971",1
"972",5
"973",4
"974",5
"975",1
"976",3
"977",5
"978",5
"979",5
"980",5
"981",2
"982",5
"983",5
"984",2
"985",2
"986",5
"987",5
"988",4
"989",3
"990",3
"991",3
"992",2
"993",4
"994",5
"995",2
"996",3
"997",2
"998",5
"999",2
"1000",4
"1001",3
"1002",3
"1003",1
"1004",4
"1005",1
"1006",5
"1007",2
"1008",3
"1009",4
"1010",4
"1011",3
"1012",2
"1013",5
"1014",2
"1015",5
"1016",2
"1017",5
"1018",4
"1019",3
"1020",2
"1021",4
"1022",4
"1023",4
"1024",2
"1025",2
"1026",1
"1027",1
"1028",1
"1029",4
"1030",4
"1031",1
"1032",4
"1033",5
"1034",5
"1035",2
"1036",4
"1037",5
"1038",4
"1039",4
"1040",3
"1041",4
"1042",5
"1043",4
"1044",4
"1045",4
"1046",4
"1047",4
"1048",4
"1049",4
"1050",5
"1051",2
"1052",5
"1053",2
"1054",4
"1055",5
"1056",1
"1057",2
"1058",5
"1059",2
"1060",4
"1061",4
"1062",4
"1063",4
"1064",5
"1065",2
"1066",4
"1067",4
