"","groups"
"639",1
"640",8
"641",1
"642",5
"643",5
"644",6
"645",1
"646",6
"647",2
"648",5
"649",1
"650",8
"651",1
"652",7
"653",5
"654",2
"655",7
"656",6
"657",8
"658",4
"659",1
"660",4
"661",5
"662",3
"663",8
"664",3
"665",8
"666",4
"667",6
"668",5
"669",2
"670",2
"671",7
"672",4
"673",3
"674",6
"675",5
"676",4
"677",8
"678",4
"679",5
"680",7
"681",7
"682",2
"683",6
"684",4
"685",7
"686",2
"687",5
"688",3
"689",5
"690",4
"691",8
"692",3
"693",8
"694",8
"695",6
"696",6
"697",6
"698",8
"699",8
"700",4
"701",4
"702",6
"703",8
"704",5
"705",4
"706",4
"707",1
"708",2
"709",6
"710",8
"711",8
"712",8
"713",6
"714",8
"715",7
"716",6
"717",4
"718",8
"719",7
"720",6
"721",1
"722",1
"723",6
"724",6
"725",8
"726",4
"727",2
"728",1
"729",6
"730",2
"731",7
"732",2
"733",4
"734",6
"735",5
"736",7
"737",1
"738",5
"739",6
"740",3
"741",2
"742",4
"743",6
"744",6
"745",2
"746",4
"747",1
"748",2
"749",1
"750",2
"751",2
"752",6
"753",6
"754",2
"755",3
"756",2
"757",2
"758",8
"759",2
"760",1
"761",1
"762",8
"763",6
"764",1
"765",4
"766",8
"767",1
"768",6
"769",7
"770",5
"771",2
"772",1
"773",5
"774",5
"775",5
"776",2
"777",1
"778",7
"779",6
"780",3
"781",6
"782",6
"783",8
"784",7
"785",2
"786",7
"787",8
"788",2
"789",3
"790",5
"791",7
"792",4
"793",5
"794",2
"795",8
"796",4
"797",2
"798",6
"799",4
"800",6
"801",5
"802",6
"803",3
"804",6
"805",8
"806",6
"807",6
"808",7
"809",4
"810",4
"811",5
"812",9
"813",9
"814",9
"815",9
"816",9
"817",9
"818",9
"819",9
"820",1
"821",9
"822",9
"823",9
"824",9
"825",1
"826",9
"827",9
"828",9
"829",9
"830",9
"831",9
"832",9
"833",9
"834",9
"835",9
"836",9
"837",9
"838",9
"839",9
"840",9
"841",9
"842",9
"843",9
"844",9
"845",9
"846",9
"847",9
"848",9
"849",9
"850",9
"851",9
"852",9
"853",9
"854",1
"855",9
"856",9
"857",9
"858",9
"859",9
"860",9
"861",9
"862",3
"863",3
"864",3
"865",3
"866",3
"867",3
"868",3
"869",3
"870",3
"871",7
"872",3
"873",9
"874",9
"875",9
"876",9
"877",3
"878",9
"879",9
"880",9
"881",9
"882",3
"883",9
"884",3
"885",6
"886",3
"887",1
"888",6
"889",3
"890",3
"891",6
"892",7
"893",3
"894",3
"895",6
"896",8
"897",6
"898",1
"899",1
"900",6
"901",1
"902",1
"903",3
"904",8
"905",8
"906",8
"907",8
"908",2
"909",3
"910",3
"911",3
"912",3
"913",8
"914",3
"915",3
"916",3
"917",2
"918",3
"919",8
"920",2
"921",3
"922",3
"923",3
"924",2
"925",2
"926",2
"927",6
"928",3
"929",3
"930",3
"931",3
"932",3
"933",1
"934",3
"935",3
"936",3
"937",3
"938",8
"939",2
"940",3
"941",1
"942",7
"943",7
"944",3
"945",3
"946",3
"947",7
"948",3
"949",3
"950",3
"951",3
"952",6
"953",3
"954",7
"955",3
"956",3
"957",3
"958",3
"959",3
"960",3
"961",3
"962",3
"963",3
"964",3
"965",3
"966",3
"967",3
"968",8
"969",6
"970",3
"971",3
"972",7
"973",3
"974",6
"975",3
"976",1
"977",6
"978",2
"979",6
"980",6
"981",5
"982",2
"983",2
"984",8
"985",8
"986",6
"987",2
"988",3
"989",1
"990",4
"991",1
"992",8
"993",3
"994",2
"995",8
"996",4
"997",8
"998",4
"999",7
"1000",3
"1001",1
"1002",1
"1003",3
"1004",3
"1005",3
"1006",6
"1007",8
"1008",1
"1009",3
"1010",3
"1011",6
"1012",8
"1013",6
"1014",8
"1015",2
"1016",4
"1017",7
"1018",3
"1019",1
"1020",8
"1021",3
"1022",3
"1023",3
"1024",4
"1025",8
"1026",3
"1027",3
"1028",3
"1029",3
"1030",3
"1031",3
"1032",3
"1033",6
"1034",2
"1035",7
"1036",3
"1037",1
"1038",3
"1039",3
"1040",1
"1041",3
"1042",6
"1043",3
"1044",3
"1045",3
"1046",3
"1047",3
"1048",3
"1049",3
"1050",8
"1051",4
"1052",2
"1053",4
"1054",3
"1055",2
"1056",3
"1057",4
"1058",6
"1059",8
"1060",3
"1061",3
"1062",3
"1063",3
"1064",6
"1065",7
"1066",3
"1067",3
