"","X[[i]]"
"1",4
"2",1
"3",4
"4",5
"5",5
"6",2
"7",2
"8",5
"9",8
"10",2
"11",4
"12",1
"13",4
"14",4
"15",1
"16",2
"17",2
"18",2
"19",1
"20",1
"21",1
"22",2
"23",3
"24",2
"25",8
"26",2
"27",1
"28",4
"29",3
"30",1
"31",1
"32",2
"33",3
"34",1
"35",1
"36",2
"37",3
"38",5
"39",5
"40",2
"41",2
"42",1
"43",2
"44",1
"45",4
"46",2
"47",4
"48",4
"49",4
"50",4
"51",2
"52",2
"53",2
"54",1
"55",3
"56",1
"57",2
"58",2
"59",5
"60",2
"61",6
"62",2
"63",5
"64",2
"65",1
"66",1
"67",1
"68",1
"69",2
"70",2
"71",1
"72",6
"73",3
"74",2
"75",1
"76",3
"77",2
"78",2
"79",1
"80",1
"81",1
"82",2
"83",2
"84",3
"85",1
"86",3
"87",3
"88",3
"89",2
"90",1
"91",1
"92",3
"93",1
"94",1
"95",1
"96",2
"97",1
"98",1
"99",2
"100",2
"101",1
"102",2
"103",3
"104",1
"105",8
"106",1
"107",3
"108",2
"109",1
"110",4
"111",1
"112",2
"113",2
"114",5
"115",1
"116",2
"117",2
"118",1
"119",4
"120",3
"121",2
"122",1
"123",1
"124",1
"125",4
"126",2
"127",3
"128",4
"129",1
"130",1
"131",5
"132",4
"133",3
"134",1
"135",1
"136",1
"137",1
"138",2
"139",1
"140",2
"141",1
"142",1
"143",2
"144",2
"145",3
"146",2
"147",1
"148",1
"149",2
"150",2
"151",1
"152",1
"153",1
"154",1
"155",2
"156",1
"157",1
"158",2
"159",2
"160",1
"161",1
"162",1
"163",2
"164",6
"165",1
"166",1
"167",2
"168",1
"169",4
"170",1
"171",5
"172",1
"173",2
"174",2
"175",6
"176",2
"177",1
"178",2
"179",1
"180",1
"181",3
"182",2
"183",2
"184",1
"185",1
"186",1
"187",2
"188",2
"189",2
"190",2
"191",2
"192",2
"193",2
"194",2
"195",4
"196",1
"197",2
"198",2
"199",2
"200",2
"201",2
"202",1
"203",2
"204",2
"205",1
"206",2
"207",2
"208",2
"209",1
"210",1
"211",2
"212",1
"213",4
"214",2
"215",5
"216",1
"217",2
"218",1
"219",1
"220",1
"221",1
"222",2
"223",2
"224",1
"225",1
"226",5
"227",5
"228",5
"229",8
"230",5
"231",2
"232",2
"233",2
"234",2
"235",5
"236",2
"237",1
"238",2
"239",8
"240",5
"241",1
"242",2
"243",2
"244",1
"245",2
"246",1
"247",5
"248",5
"249",2
"250",2
"251",8
"252",2
"253",8
"254",1
"255",1
"256",8
"257",5
"258",2
"259",1
"260",1
"261",2
"262",2
"263",2
"264",1
"265",1
"266",5
"267",2
"268",1
"269",2
"270",5
"271",2
"272",2
"273",1
"274",1
"275",5
"276",1
"277",2
"278",2
"279",3
"280",5
"281",1
"282",1
"283",1
"284",2
"285",1
"286",5
"287",1
"288",5
"289",2
"290",5
"291",4
"292",1
"293",1
"294",1
"295",2
"296",1
"297",1
"298",1
"299",1
"300",2
"301",1
"302",1
"303",2
"304",1
"305",2
"306",4
"307",5
"308",1
"309",2
"310",1
"311",2
"312",1
"313",5
"314",4
"315",1
"316",2
"317",2
"318",2
"319",2
"320",1
"321",1
"322",4
"323",1
"324",2
"325",2
"326",8
"327",1
"328",2
"329",2
"330",1
"331",2
"332",1
"333",2
"334",4
"335",1
"336",2
"337",2
"338",1
"339",2
"340",1
"341",2
"342",1
"343",1
"344",1
"345",2
"346",2
"347",2
"348",5
"349",4
"350",2
"351",5
"352",2
"353",2
"354",1
"355",5
"356",1
"357",2
"358",5
"359",5
"360",5
"361",5
"362",2
"363",4
"364",1
"365",1
"366",2
"367",1
"368",2
"369",1
"370",2
"371",2
"372",2
"373",2
"374",2
"375",1
"376",1
"377",2
"378",2
"379",2
"380",2
"381",2
"382",2
"383",2
"384",2
"385",2
"386",1
"387",2
"388",2
"389",4
"390",4
"391",2
"392",4
"393",2
"394",4
"395",2
"396",2
"397",2
"398",2
"399",2
"400",2
"401",2
"402",2
"403",4
"404",2
"405",4
"406",2
"407",2
"408",2
"409",4
"410",4
"411",4
"412",4
"413",8
"414",1
"415",1
"416",1
"417",4
"418",4
"419",1
"420",1
"421",4
"422",1
"423",1
"424",2
"425",1
"426",2
"427",2
"428",2
"429",2
"430",2
"431",8
"432",5
"433",2
"434",2
"435",2
"436",2
"437",2
"438",2
"439",2
"440",1
"441",1
"442",5
"443",1
"444",2
"445",2
"446",2
"447",2
