"","X[[i]]"
"1",1
"2",1
"3",3
"4",3
"5",1
"6",1
"7",3
"8",3
"9",2
"10",1
"11",1
"12",1
"13",2
"14",2
"15",1
"16",1
"17",2
"18",2
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",2
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",2
"36",2
"37",1
"38",1
"39",1
"40",1
"41",2
"42",2
"43",2
"44",1
"45",2
"46",2
"47",1
"48",1
"49",1
"50",1
"51",2
"52",2
"53",1
"54",1
"55",1
"56",1
"57",1
"58",2
"59",1
"60",1
"61",1
"62",1
"63",1
"64",1
"65",2
"66",1
"67",1
"68",1
"69",1
"70",1
"71",2
"72",1
"73",1
"74",2
"75",1
"76",2
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",1
"86",1
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",1
"103",1
"104",1
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",1
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
"122",1
"123",1
"124",1
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",1
"133",1
"134",1
"135",1
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",1
"144",1
"145",1
"146",1
"147",1
"148",1
"149",1
"150",1
"151",1
"152",1
"153",1
"154",1
"155",1
"156",1
"157",1
"158",1
"159",1
"160",1
"161",1
"162",1
"163",1
"164",1
"165",1
"166",1
"167",1
"168",1
"169",1
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",1
"177",1
"178",1
"179",1
"180",3
"181",3
"182",3
"183",3
"184",3
"185",3
"186",3
"187",3
"188",3
"189",3
"190",3
"191",1
"192",3
"193",3
"194",3
"195",3
"196",3
"197",3
"198",3
"199",3
"200",3
"201",3
"202",3
"203",3
"204",3
"205",3
"206",3
"207",3
"208",3
"209",3
"210",3
"211",3
"212",3
"213",3
"214",3
"215",3
"216",3
"217",3
"218",3
"219",3
"220",1
"221",1
"222",3
"223",3
"224",3
"225",1
"226",1
"227",1
"228",1
"229",3
"230",3
"231",3
"232",3
"233",3
"234",3
"235",3
"236",3
"237",1
"238",1
"239",3
"240",3
"241",3
"242",3
"243",3
"244",1
"245",3
"246",3
"247",3
"248",1
"249",1
"250",3
"251",3
"252",3
"253",3
"254",1
"255",3
"256",3
"257",3
"258",3
"259",3
"260",3
"261",3
"262",3
"263",3
"264",3
"265",3
"266",1
"267",1
"268",3
"269",3
"270",3
"271",1
"272",3
"273",3
"274",3
"275",3
"276",3
"277",3
"278",3
"279",3
"280",3
"281",3
"282",3
"283",3
"284",3
"285",3
"286",3
"287",1
"288",3
"289",3
"290",3
"291",3
"292",3
"293",3
"294",3
"295",1
"296",3
"297",3
"298",3
"299",3
"300",1
"301",3
"302",3
"303",3
"304",3
"305",3
"306",1
"307",3
"308",3
"309",3
"310",1
"311",3
"312",3
"313",1
"314",3
"315",3
"316",1
"317",1
"318",1
"319",3
"320",3
"321",3
"322",3
"323",3
"324",1
"325",3
"326",3
"327",3
"328",3
"329",3
"330",3
"331",3
"332",3
"333",1
"334",3
"335",3
"336",1
"337",3
"338",1
"339",3
"340",3
"341",1
"342",1
"343",3
"344",3
"345",3
"346",3
"347",3
"348",1
"349",1
"350",1
"351",1
"352",1
"353",1
"354",1
"355",1
"356",1
"357",1
"358",3
"359",1
"360",1
"361",3
"362",1
"363",1
"364",1
"365",1
"366",1
"367",3
"368",1
"369",1
"370",3
"371",1
"372",1
"373",1
"374",1
"375",1
"376",1
"377",1
"378",1
"379",3
"380",1
"381",1
"382",1
"383",1
"384",1
"385",1
"386",1
"387",3
"388",1
"389",1
"390",1
"391",1
"392",1
"393",3
"394",1
"395",3
"396",1
"397",1
"398",1
"399",3
"400",1
"401",3
"402",3
"403",1
"404",1
"405",1
"406",3
"407",1
"408",1
"409",3
"410",1
"411",1
"412",1
"413",1
"414",1
"415",1
"416",3
"417",1
"418",1
"419",3
"420",1
"421",1
"422",1
"423",3
"424",1
"425",1
"426",3
"427",3
"428",3
"429",3
"430",3
"431",3
"432",3
"433",3
"434",3
"435",3
"436",3
"437",3
"438",3
"439",3
"440",1
"441",3
"442",3
"443",3
"444",3
"445",1
"446",3
"447",3
"448",1
"449",3
"450",3
"451",3
"452",3
"453",3
"454",3
"455",3
"456",3
"457",3
"458",3
"459",1
"460",3
"461",3
"462",1
"463",3
"464",3
"465",3
"466",3
"467",3
"468",3
"469",3
"470",3
"471",3
"472",3
"473",1
"474",3
"475",3
"476",3
"477",1
"478",3
"479",3
"480",1
