"","X[[i]]"
"639",10
"640",20
"641",5
"642",17
"643",19
"644",1
"645",4
"646",14
"647",5
"648",17
"649",6
"650",8
"651",10
"652",11
"653",19
"654",15
"655",12
"656",14
"657",8
"658",14
"659",6
"660",12
"661",19
"662",16
"663",8
"664",9
"665",8
"666",8
"667",14
"668",19
"669",15
"670",15
"671",11
"672",14
"673",16
"674",1
"675",19
"676",14
"677",8
"678",14
"679",19
"680",14
"681",18
"682",5
"683",14
"684",8
"685",12
"686",5
"687",19
"688",2
"689",19
"690",14
"691",8
"692",2
"693",20
"694",8
"695",14
"696",14
"697",10
"698",8
"699",8
"700",6
"701",6
"702",14
"703",8
"704",19
"705",8
"706",6
"707",5
"708",15
"709",14
"710",8
"711",8
"712",8
"713",1
"714",8
"715",12
"716",14
"717",6
"718",8
"719",14
"720",1
"721",3
"722",4
"723",1
"724",10
"725",8
"726",6
"727",15
"728",7
"729",1
"730",5
"731",11
"732",15
"733",6
"734",1
"735",19
"736",12
"737",5
"738",17
"739",14
"740",16
"741",15
"742",8
"743",5
"744",14
"745",15
"746",6
"747",4
"748",15
"749",6
"750",15
"751",15
"752",14
"753",10
"754",15
"755",13
"756",15
"757",15
"758",20
"759",5
"760",4
"761",4
"762",8
"763",14
"764",4
"765",6
"766",8
"767",7
"768",14
"769",12
"770",17
"771",15
"772",3
"773",17
"774",19
"775",17
"776",14
"777",6
"778",12
"779",14
"780",9
"781",1
"782",14
"783",8
"784",11
"785",15
"786",11
"787",8
"788",15
"789",9
"790",17
"791",11
"792",15
"793",17
"794",15
"795",8
"796",8
"797",10
"798",14
"799",6
"800",14
"801",19
"802",1
"803",9
"804",14
"805",8
"806",1
"807",1
"808",14
"809",8
"810",8
"811",19
"812",8
"813",11
"814",1
"815",11
"816",8
"817",20
"818",8
"819",11
"820",6
"821",1
"822",10
"823",11
"824",20
"825",6
"826",14
"827",1
"828",8
"829",11
"830",8
"831",19
"832",11
"833",8
"834",6
"835",11
"836",11
"837",11
"838",1
"839",8
"840",6
"841",14
"842",11
"843",8
"844",8
"845",11
"846",14
"847",14
"848",11
"849",8
"850",8
"851",14
"852",8
"853",11
"854",6
"855",11
"856",14
"857",8
"858",12
"859",14
"860",8
"861",14
"862",13
"863",16
"864",16
"865",16
"866",9
"867",9
"868",16
"869",9
"870",16
"871",18
"872",2
"873",8
"874",8
"875",11
"876",14
"877",9
"878",1
"879",14
"880",8
"881",14
"882",2
"883",8
"884",16
"885",1
"886",9
"887",3
"888",1
"889",13
"890",9
"891",14
"892",11
"893",2
"894",13
"895",1
"896",20
"897",14
"898",4
"899",7
"900",14
"901",6
"902",7
"903",9
"904",20
"905",20
"906",20
"907",8
"908",5
"909",2
"910",2
"911",2
"912",9
"913",20
"914",2
"915",16
"916",2
"917",15
"918",9
"919",8
"920",5
"921",2
"922",2
"923",2
"924",15
"925",5
"926",5
"927",10
"928",13
"929",13
"930",9
"931",2
"932",2
"933",6
"934",2
"935",9
"936",16
"937",9
"938",20
"939",5
"940",2
"941",3
"942",1
"943",15
"944",9
"945",2
"946",13
"947",11
"948",2
"949",2
"950",9
"951",2
"952",1
"953",16
"954",8
"955",9
"956",9
"957",2
"958",2
"959",9
"960",2
"961",9
"962",9
"963",2
"964",9
"965",2
"966",2
"967",13
"968",8
"969",14
"970",2
"971",2
"972",12
"973",13
"974",1
"975",2
"976",4
"977",14
"978",15
"979",14
"980",14
"981",17
"982",5
"983",5
"984",20
"985",20
"986",14
"987",5
"988",9
"989",7
"990",6
"991",3
"992",20
"993",2
"994",5
"995",20
"996",6
"997",20
"998",14
"999",14
"1000",13
"1001",7
"1002",6
"1003",2
"1004",13
"1005",2
"1006",1
"1007",8
"1008",6
"1009",13
"1010",9
"1011",7
"1012",20
"1013",14
"1014",20
"1015",15
"1016",8
"1017",14
"1018",9
"1019",6
"1020",8
"1021",9
"1022",16
"1023",16
"1024",8
"1025",8
"1026",2
"1027",2
"1028",2
"1029",9
"1030",13
"1031",2
"1032",9
"1033",14
"1034",15
"1035",11
"1036",13
"1037",12
"1038",16
"1039",13
"1040",3
"1041",2
"1042",1
"1043",2
"1044",16
"1045",2
"1046",9
"1047",13
"1048",9
"1049",2
"1050",8
"1051",6
"1052",15
"1053",8
"1054",13
"1055",15
"1056",2
"1057",8
"1058",14
"1059",20
"1060",9
"1061",9
"1062",16
"1063",2
"1064",14
"1065",8
"1066",16
"1067",16
