"","X1","X2","X3","X4"
"V1",0.00279171914800167,0.00699184645409485,0.00417334378681859,-0.00133172786975465
"V2",-0.00144661633457672,-0.00259843128524002,-0.00442061652414402,0.00178344121571548
"V3",-0.0113858246834912,-0.0122628220833961,-0.00555325577213261,-0.00650515316123917
"V4",0.000477376625714072,-0.00412820454774572,-0.000933385485136976,-0.00239883905469473
"V5",-0.000791192721679538,-0.00412316686374178,1.90854270161715e-05,-0.00227192658891145
"V6",-0.000325162903928208,-0.000330854168276041,-0.000154665199593173,-0.000980272102499668
"V7",-0.00385177489535326,-0.014337649332633,0.00996423521837704,-0.0108539996308414
"V8",0.0125175558827931,-0.015887728636317,0.0422372503301374,0.0120521081075393
"V9",-0.00602438797604408,-0.00850489572101873,-0.00128575589060638,0.00633496263447653
"V10",0.00118212941954581,0.00732131665910211,-0.018963002019634,-0.010811267958511
"V11",-0.00142325677678482,0.00151776235591311,-0.00176927386068884,-0.00165091070325127
"V12",-0.00210674807225097,-0.0133170140378757,0.00505195528829391,0.0163621306439527
"V13",0.000778708230808949,-0.00895031386727791,-0.0041281437691614,0.00761065502106479
"V14",0.00188191733108457,0.00155721630027187,0.0115702965997889,0.00429803869476384
"V15",0.00042119166199721,-0.00541370428123589,0.00960042693512782,0.000470409438386053
"V16",-0.0016753248962759,-0.00789742824226688,0.0087354918772227,0.0119342303193122
"V17",0.00200590807674451,0.00372064440678843,-0.00383149459642506,0.00713931903128955
"V18",-0.0101095542654359,-0.00114214710728693,-0.00958802932146533,-0.000165216163213776
"V19",0.00758956642047455,-0.00351211507767988,0.00410136036536476,0.0161149558004895
"V20",-0.00544388913676961,0.00205861568127848,-0.00358364034231926,0.00265986501048368
"V21",-0.00231725354311418,0.00259883262260428,-0.00619197781194902,0.0130827653172638
"V22",0.000239436633023768,-0.00258650042435349,0.00910489713459363,-0.00936860776440616
"V23",0.00396599368727047,-0.000635126052980476,0.00180705160482479,0.0104633867250649
"V24",0.000840060077741681,0.00270617042383984,0.00110498595448388,0.00110024772430025
"V25",0.00179477535204564,0.00706396816087432,0.000995543866392945,-0.00920334758806174
"V26",-0.00566839165482429,0.00139965871260294,0.00502675712754759,-0.00783295849714145
"V27",-0.0081986977874574,-0.00718234662289456,0.000847610374175202,0.000799710939264239
"V28",0.00355908723626167,-0.00433723539035028,-0.00438180917604057,-0.00509741794397199
"V29",-0.0127964358211205,-0.0171589075968066,7.50524663182561e-05,-0.00198455516585299
"V30",-0.000655323097027727,-0.0113197670063555,0.0124131435910816,0.0060581231290213
"V31",0.00285679676679092,0.0104953309216086,0.00833215334685929,-0.0094614869584457
"V32",-0.0110443011555235,-0.0243498419491146,-0.0157292177532175,0.0201676078676638
"V33",0.0128532938934844,-0.00942490968739205,0.0183448399780997,0.0110375994685207
"V34",0.0125598518626164,-0.00673591965241802,-0.00387824873543436,0.00401036998834092
"V35",0.00734691962787729,-0.00305584459858992,0.0129066874083625,0.0107179120859757
"V36",-0.00460231714371579,-0.00283903205919497,0.00162350105154533,-0.00313175717209726
"V37",-0.00407558072540734,-0.00546974269030972,-0.0013391126085699,-0.00410900940538401
"V38",-0.00446286269870728,-0.00999707867408307,0.00579791208218137,-0.00259429982913635
"V39",0.00206231544293686,0.0024092012015926,-0.0024946233833906,0.00755481572161552
"V40",0.00470187238282546,0.000262432549273382,0.00135628494633262,-0.00197530461164126
"V41",-0.00876641745286713,-0.00438463764224351,-0.000736555641239657,-0.00692095152438049
"V42",-0.0058175835145338,-0.00350021185760486,-0.00645270609376898,0.00135727493023148
"V43",-0.00214801656200766,0.00110305526815911,-0.00119247821642628,-0.00128421272830762
"V44",-0.00242364177295669,-0.00309294011629203,0.00465724676041261,0.00482227709493289
"V45",0.00747363609120867,-0.00255102363679062,-0.00429253013935914,-0.00181440336893805
"V46",0.00374467695636048,-0.0166855951325609,0.0137858762519709,-0.00638951316200669
"V47",0.00156035985064418,-0.00168339540669419,0.00804615587669848,-0.00385280432782674
"V48",0.00171427378395237,-0.000444332979738402,-0.00809057882999444,0.00272383113625544
"V49",0.000722181206374449,-0.000256530187796139,0.000660160021100776,-0.00480237050530338
"V50",-0.0092751967213554,-0.000132884608228497,0.00799422450432044,7.49346137373628e-05
"V51",-0.003623825663501,0.0130961422852417,0.00847100037611288,-0.0118700542694121
"V52",0.0022953236562477,-0.000331725822864517,0.00322200741079834,0.00139538539262711
"V53",0.00627411516209104,-0.00932804415341242,-0.0168996250440148,0.0171986600351692
"V54",-0.00122144619645447,-0.0023612553514714,0.00534515551280538,-0.00378602363515618
"V55",-0.00247007012347533,-0.00885938965714128,-0.0101494702930169,0.000937209504864078
"V56",0.00878349656234369,-0.00372595218463726,-0.000492927266396194,0.00771506129807291
"V57",0.00430607943783817,0.00398942573796896,-0.00318088105745009,0.0039361568499385
"V58",0.018219685889411,0.00612290470406991,-0.00469545473696713,-0.000982654381294941
"V59",0.0153868482506043,-0.00865375265087543,-0.00606652435665917,-0.00468659709283812
"V60",-0.00700338595073393,0.0144020433403922,0.0215217472425785,0.00413714809825826
"V61",-0.00911245179774276,0.00180139133443111,0.000832348209484791,0.00426373259777107
"V62",0.00201890513609786,-0.0070206880310198,-5.17063659525851e-05,-0.00404519667243401
"V63",-0.000380187553721603,-0.00205194973747475,-0.00295048345416684,-0.000651299628696682
"V64",0.000267458490835787,0.00361558059539206,-0.00581240212978935,0.00217480854460473
"V65",-0.000126652242164016,-0.00584599478418137,-0.00634214463657167,0.0122551090812737
"V66",0.0124605622776743,0.00212746853621919,0.0212220200214721,0.000423784078006626
"V67",-0.00968350808776541,-0.012420625453412,-0.0111193183864238,0.00769356267304281
"V68",-0.00279234856900095,0.0074725521288751,0.00224882885573719,0.011042901258302
"V69",-0.017445220488023,0.00766195055434801,-0.0149003500257257,0.00253205728409602
"V70",0.00283744593203459,0.00151548614556462,0.00372588788096667,0.00145971362594713
"V71",-0.00823244279315759,0.00578765386849338,-0.0125332391626523,-0.00344953604939386
"V72",0.00852226119797397,-0.00777376080977785,-0.00962639903775903,0.00338963432913421
"V73",0.011796611736359,-0.00710220007089638,-0.00159961324986928,0.00228474877450629
"V74",-0.0036282760193308,-0.00220881237768776,0.00587703776219673,-0.00964980293455563
"V75",0.0036863159095877,-0.00108158445727191,0.00263162235158246,-0.000209958872074908
"V76",-0.00867617206217664,-0.00117564350504459,-0.0222788243882109,-0.00487460917144933
"V77",0.0461581849148959,-0.00868761019629193,-0.0098220111709916,0.00744099611008619
"V78",0.00437677272218212,0.00298270572048647,-0.00993050236064918,0.000286553453147702
"V79",0.00398863265666287,0.0044388228308081,0.00463286616548826,0.000217312616959675
"V80",0.00584978861431306,-0.00196201291741081,-0.00649466246085442,0.000486357609015849
"V81",0.00249893195344095,0.000215654871138328,0.00832937405443192,-0.00312581612753696
"V82",-0.00976358808449067,-0.00849686280744177,-0.00775348998808953,0.00487153939092775
"V83",-0.000325666960925658,0.00101358020272742,0.000923409716359439,-0.00037466752636671
"V84",-0.00273908056712576,0.000158214470317797,0.00352819259522061,-0.00333788359955955
"V85",0.00246726302765348,-0.00361935016447042,-0.00288505090295865,0.00189595729071126
"V86",0.0120231867061866,0.00224586869888759,-0.0059974854056245,-0.00799656593992247
"V87",-0.00289456908016421,-0.0051864191903093,-0.00228783445821101,-0.00115430430151338
"V88",0.000388657229544347,0.000258974098077291,-0.00191980470280663,-0.000938088688511861
"V89",0.00208997791956147,0.00143226268385555,0.000172247104840281,-0.00471083026031067
"V90",-0.000811333032268638,-0.00636296707785428,-0.00972728490167966,0.00455742241095184
"V91",0.00205387450884754,-0.00104503494149907,0.0145918498786102,0.00495443890485238
"V92",0.00216625281970019,-0.00483874955187918,0.00461121055837161,-0.000877509540770148
"V93",-0.00166071522738645,-0.00488674653544756,-0.0011586547812405,-0.0046112641726591
"V94",0.000400642352868673,-0.00248756810853817,0.00303802434754246,0.00127328370649854
"V95",0.00118703074640091,0.00187765232386679,0.00557291646952504,0.00742701836374378
"V96",-0.00541330004859738,-0.00518500373917169,0.00357017148771328,-0.00947188522945578
"V97",0.0014659299507281,-0.00635680666017223,0.00116529500344682,0.00813733597134447
"V98",-0.000834196489552789,-0.00643662771339334,0.0054368945635393,-0.012239655139303
"V99",0.00927033802163341,0.00706436001674422,0.000738859889418207,0.0171198233061985
"V100",0.00339057064942572,0.00793812821594363,-0.00126388263347828,-0.00383779947895545
"V101",-0.00426802566105319,-0.00470868892290283,0.00238432664951878,-0.00568879801281428
"V102",0.00698401179409693,-0.00616332617650181,0.00403919732233747,0.00840804799676982
"V103",-0.0123144261081044,-0.00223421371039859,-0.0038336731675734,0.0111019085707176
"V104",-0.000994850238407201,-0.00196590306351788,0.000859111137177129,0.000694669733237626
"V105",0.0026409941838567,-0.00290793271571853,-0.00196487584740702,0.000658641365215238
"V106",-0.00408105136576074,-0.0089711809367724,0.00584865578678412,-0.000609010660925362
"V107",0.0178673454161304,-0.000668666505569926,-0.006051541117551,-0.00162515519271412
"V108",0.00646105477297728,-0.00258161211697987,0.00938539426610972,-0.0140225614840658
"V109",0.00962588743755998,0.00211308051487209,0.000663192060710704,0.0088836049246612
"V110",-0.00871970403321268,-0.0157048996172612,0.00064732124935934,0.0088436912478424
"V111",0.0126085924051155,-0.00176034995915464,-0.00583304892286862,0.00355193058560799
"V112",-0.00455458303081613,-0.0102789652692549,0.0130321491912461,-0.000657384553549448
"V113",0.00448415408671247,-0.00811443649091738,0.00835495763421986,-0.00637306985711503
"V114",-0.00834881789066133,-0.00253742129215569,-0.00721350162620538,0.0100954301758991
"V115",0.00823671809091121,-0.000937954393973449,-0.003660611499995,0.00121583995059828
"V116",-0.00564230378068135,-0.00376452688326953,0.00731743952619766,0.000572299157929472
"V117",0.00111661020070771,-0.00185484807620274,-0.000378192891059591,-0.00678959691477239
"V118",0.000152353952178286,0.00685750378478738,0.00421220854380179,-0.0107090030185526
"V119",0.000463970347096587,-0.000405154052559421,0.00440289055377462,-0.0101109712812443
"V120",-0.00211406389076721,-0.00228507327755439,0.00144701230542184,-0.00409415234307227
"V121",-0.00957116808938121,-0.00197788011850585,-0.0110818585889876,-0.00285414296608795
"V122",0.00074855402207741,-0.00208462634031447,0.00216010637621356,-0.00533107123041199
"V123",-0.00119489190867644,-0.00219162468680593,-0.000961772003698992,-0.00411855939418336
"V124",-0.00113851955147174,0.00668075371921067,0.01024401923565,-0.00896256196546327
"V125",0.0016820638564371,-0.00442097742873227,-0.00100328775544141,-0.012972570746758
"V126",-0.0126068880168014,0.00331141827565892,-0.00392322976932427,0.00583870247365156
"V127",-0.0159852029961839,-0.0120913222445877,-0.00353426996924936,-0.00323347882577592
"V128",0.0045080747848962,-0.00429126516379464,-0.00434047875707916,-0.000959360446485387
"V129",0.00282798722097891,-0.00160170727446544,0.00571248481754683,-0.00381227780190613
"V130",0.00906303195105451,-0.00975361261768227,-0.00798150637964849,-0.0107660296100581
"V131",-0.0118651305622076,-0.0190577267568957,0.00253132828470539,-0.000446889718635494
"V132",-0.0138542866898664,-0.00781809119360337,-0.0112581319870109,-0.00131784147150811
"V133",0.00802317559447907,-0.00985443818793345,0.00923166707474118,0.00330618728104075
"V134",-0.00883967967959657,-0.000529044151179808,-0.00597477481365986,0.00037304446480263
"V135",-0.00175851015562335,0.00996900446621112,-0.00265872217121591,-0.0021638349406837
"V136",0.000144366807801659,-0.00166895069261654,0.00151082851302533,-0.00188836906305538
"V137",-0.00781995337591117,0.0020703535652811,0.00216392871406302,0.00165886558415442
"V138",-0.00147915213898878,-0.00516857069315879,0.0062502799795013,-0.00858075710083389
"V139",-0.00288180761487047,0.00184569992461282,0.00540370178834507,-0.00471989398102164
"V140",0.000829222630971654,-0.00466040998378393,0.0099235950218176,0.00681994556835362
"V141",0.00257704580934697,-0.000186283346122401,0.00720203691391811,0.00911218178729163
"V142",0.00367306461964995,0.0025123217033185,0.00290999263548395,0.0091166902222891
"V143",-0.00202495181347049,0.00300246234763165,-0.00434729549541114,-0.00329405456341357
"V144",-0.00500287037685989,-0.00835631739096458,0.00425864379891648,0.00226079813515936
"V145",0.000357568818351347,-0.00154216701147549,-0.000633696834283295,-0.00187374401902805
"V146",-0.00313544401162323,-0.00366337133609999,-0.000451321319852481,-0.00171071118225138
"V147",-0.00681790138281067,-0.000886711814511782,-0.0135062190509923,0.00246474710695012
"V148",-0.00305912023221893,-0.00945023531699843,-0.00034901896998578,0.000868869601779326
"V149",-0.0169801321613657,-0.00199764120981864,-0.00662023624960558,0.00299265763763532
"V150",0.00476599294395571,-0.00356648246018607,-0.00254930839708982,4.78912366156679e-05
"V151",-0.000409295181490364,-0.00060229668363031,3.43470548450065e-05,-0.000745772001644988
"V152",0.00169896648761664,-0.00442344280053277,0.00760971218461111,-0.00745369621598751
"V153",0.00242149390328876,-0.000842726080690908,0.00136449439789041,0.00304324216150194
"V154",-0.0025859281040352,-0.00259031858574133,0.00258950123020182,0.00212657022687941
"V155",-0.00145542764763488,-0.00046730462699314,0.000884673454443459,-0.000970986899496221
"V156",-0.015510946042816,-0.00136087264196696,0.00444768006560561,0.0100552703582676
"V157",-0.00425797528410735,-0.00178891280171299,0.000589204139639719,-0.000250643040796789
"V158",0.00979874994769648,-0.00575877785686592,-1.35353409599062e-05,-0.00160637161806186
"V159",-0.0073788804712125,-0.0192916754425162,0.0101221669163719,0.013098861202751
"V160",-0.0018629972446417,0.000500687695691526,-0.00180918700121,-0.00432157277188828
"V161",-0.00371976529760461,-0.00859030704205818,-0.00385316963196964,0.0125722084271605
"V162",0.00464706276155303,-0.00180701207849859,0.00512542544587029,0.000806341114499408
"V163",0.0309950331680875,-0.00327321737032241,-0.0201443954528123,-0.00753518120905177
"V164",-0.00029400875025108,-0.0014704816595392,-0.00114899195047822,-0.00363312260620088
"V165",-0.0067863854871618,0.00474036030692008,0.00324093231178406,-0.00251344750970742
"V166",0.000530588995782145,-0.000462959201550732,0.00334092064258054,0.00228459253780351
"V167",-0.000451913876060964,-0.00350394907268518,0.0063618990898998,0.00906508339798881
"V168",-0.00889530265078086,-0.00931713318902822,-0.00787787581148128,-0.00990523317321987
"V169",-0.00198030417953676,-0.00174520351052978,0.00257701968714891,0.00112281278291255
"V170",-0.00217387722567399,-0.00260059105702244,0.00131485013233887,-0.0029086587764223
"V171",0.00155155580072445,-0.00359567361986674,-0.000524469702647108,-0.00461588208975612
"V172",0.00286077925195264,0.000202857435845745,0.0233165196878588,0.0128177086587962
"V173",-0.000446037516472642,-0.000493983544452898,6.10728292593556e-05,0.000326509349347745
"V174",-0.00131811520584862,-0.0034979503904981,0.00163723002129445,-0.000602903667293838
"V175",0.000156960057452151,0.00373020331590411,0.0186456176378529,0.0026648178795142
"V176",0.00160430094593497,0.0037812446058074,0.00558453851667891,-0.012809944493334
"V177",-0.0125356679854986,-0.0135263900005858,-0.0080879285176536,0.0039314393001247
"V178",0.00985416060770563,0.000642519550004395,0.00108840808730504,-0.00573379422409833
"V179",0.00115309843343661,0.00106780909819095,0.00568521479205312,-0.00874504650958503
"V180",0.000756310517093137,-0.00731843602855323,0.00448732685091552,-0.00598893605761889
"V181",-0.00140125379083869,-0.00399250772193353,0.00243108358859611,0.0121492313158675
"V182",0.0146768342767176,0.0070235859720732,-0.0145657967528559,0.000423973408670842
"V183",0.00184512178115404,-0.00495901177213154,0.000447184234425217,-0.00516574160516957
"V184",-8.55673097213442e-05,-0.000363083252033658,0.000669088141100176,0.000153629689988479
"V185",0.00806035587035181,-0.0107654350031115,0.00595807120993691,0.00743179122736813
"V186",-0.0127450628787113,-0.000396665476168398,0.00341953475648817,0.0067675324739681
"V187",-0.00364770924259685,0.0144823134683451,0.00706794558158811,0.00439289746010572
"V188",0.00833347061885832,-0.0115088335638594,-0.00227029036609219,0.00323532847327783
"V189",0.0111086811751355,-0.00839014704523945,-0.00879473663757201,0.00716834782932652
"V190",0.00379866140289796,0.0045985067629599,7.26950931400147e-05,-0.00164585580322936
"V191",-0.00795022198744343,-0.0166952180913389,-0.00177193896587639,0.0044713265998834
"V192",-0.000518566113420057,-0.00677097761090781,-0.00433324482072005,-0.00140628749998204
"V193",-0.00379248889194596,-0.000781140947673704,-0.0170349838240224,0.00530297862516187
"V194",0.00104261558843971,0.00708958223070316,0.00843894830641511,0.00613923237017667
"V195",0.00342687422293296,0.000857259717098703,-0.00766995515278575,-0.00392683897171815
"V196",0.00212792602568457,0.00537870408728297,0.00403625979348272,-7.74374278103372e-05
"V197",0.000570768503363832,-0.000429111581328828,-0.00111478910826326,0.000904263545701183
"V198",0.00590201954912002,0.00535147527810138,-0.00286749033707076,0.00885297767690484
"V199",-0.00341030228982368,-0.00135671613891396,0.0114169015772294,0.00433167441309946
"V200",-0.00224394554293251,0.00105328305556225,0.00196910367713221,-0.00524647648674191
"V201",-0.003690128288026,0.00071946147900209,0.00302697172774055,-0.00854059514389073
"V202",-0.000639871852755165,-0.00297866695612676,0.00300054106675964,-0.000606579477910931
"V203",0.00250964879747041,0.000914784446773162,0.000433265384595976,-0.00223646225730411
"V204",-0.00194719830224913,0.00119249708711848,-0.000782758485415378,-0.002891168902143
"V205",-0.0124829772443969,-0.0104332949737864,0.000630015728473934,0.00399015650421071
"V206",-0.0039078426715212,0.000769138143759611,-0.000603852670921953,0.000174426491058532
"V207",0.0119112780916332,-0.00338401703477763,0.00782943346045789,-0.000778523805135051
"V208",-0.0205309757192443,-0.00102148521076934,-0.00829328655324451,-0.00582493837185261
"V209",-0.0133086712473391,-0.0011205318472454,-0.0103861316042908,-0.00388125446932524
"V210",-0.0193373338329109,-0.022418866388936,-0.00859483898264711,-0.000442249292289237
"V211",-0.00111124744104086,-0.0017448968884764,0.000569417476254218,0.000763705530622186
"V212",-0.00402648573864336,-0.00375287611982411,-0.00340219402885225,0.00715854386336496
"V213",-0.000253629187914754,-0.00123882015925549,-0.00149197927145906,-0.0002659987822842
"V214",0.00269746795952516,0.0158832260923221,-0.000385493648600763,0.00114028917148269
"V215",0.00469049856622145,0.00537382825290361,0.00064423892387274,0.0114425119512542
"V216",-0.00198953418134857,-0.00233488502031614,-0.00776961267748568,0.00310717160103044
"V217",0.0159219166544586,0.000139486916620994,0.00465892408554951,0.00031154530609153
"V218",0.0117607308822071,-0.000780953581822876,0.0075062858473757,0.00725789225063653
"V219",-0.00315456359458772,0.00717480002479652,-0.00261701237709535,-0.00361787760242537
"V220",0.0107343320791674,-0.00186066900789814,-0.00936185069436314,0.00327965548444373
"V221",0.000778594249840122,-0.00297989882655721,-4.47517783194257e-05,-0.00238029911279583
"V222",0.00227719171604642,-0.00752926401542403,0.00479620662008506,-0.00683389319423264
"V223",0.00244269261587024,-0.00499775353076584,0.00878697612097569,-0.00161081648664214
"V224",0.0104220823940227,0.00277155576092764,0.0132483387720796,-0.00554062587839238
"V225",-0.00175725915858536,0.00466574019648003,-0.00536758910955917,-0.000353515057413105
"V226",-0.00102547862702884,-0.00106077516801076,8.63043603176788e-05,-0.00298886528782491
"V227",-0.00621940560496623,0.00760126477502674,-0.00579786806235314,0.000511902019003999
"V228",0.0052157590377269,0.000426535111218188,0.00758391413364988,-0.00738915890514015
"V229",0.00484715859084089,-0.00783521452709569,0.00511882765890941,0.0073997668909018
"V230",-0.00274690050606733,-0.00258205195578912,-0.00728279387166833,0.0109569719011913
"V231",-0.00303668563654274,-0.00255186482326691,0.000164873106638201,0.000441844872905515
"V232",-0.01083890856557,-0.0120521578613142,-0.00846995290158682,0.00927766329238693
"V233",-0.00410759905535266,-0.0101095246593667,0.00392645202056555,0.00229520712606229
"V234",-0.00208422624344635,-0.00307474638594647,0.000177931965847651,-0.00165722234430693
"V235",-0.0061813740139542,-0.0105624575782315,-0.00316922826804907,0.00524986998090682
"V236",-0.00584489810465399,-0.00969834554852733,-0.00139648993867931,0.00736535053559929
"V237",0.00067292264721864,-0.00173348706294921,-0.000994737213860924,-0.00962165720324529
"V238",-0.00418800225185412,-0.00394865917038159,-0.00198140272835569,-0.00109487066423595
"V239",-0.0098177639412109,-0.00511011319665799,-0.00884525476661962,0.00129556394173644
"V240",-0.000257129502634529,-0.0039424517797659,0.000795562156355114,0.00846778607443457
"V241",-0.0110938839012119,-0.0127993489756764,-0.00619494940217169,0.000790159184914938
"V242",0.00224767619131931,0.0023345909583806,-0.00186853827966684,0.00134247826741589
"V243",-0.00702661112656721,-0.0110952124726669,0.00617409903230661,-0.000900887320955366
"V244",-0.00633905112057994,-0.0131279567598832,-0.00301842356259945,0.00581119767965631
"V245",0.00283717886787678,-0.00464326326626433,-0.00393834305587873,0.00307305152390673
"V246",-0.000998353431066127,-0.00429674579860649,-0.00101409897000017,0.0022807657463787
"V247",-0.00224873687593922,0.0067579207664633,0.00825390562293398,0.0056217151342575
"V248",0.00760272943342245,-0.00100209954289302,-0.00535602390721977,-0.00365694245134115
"V249",-0.00292116278234731,-0.00545996795557396,0.000133701966163591,0.00354453960200046
"V250",-0.00555371827696196,-0.00944756434476256,0.00135518698540314,0.00466528786153813
"V251",-0.00501720562285412,0.00885164441287466,0.0170191509021422,0.00865867757836765
"V252",-0.000647055952109168,-0.00337378201047605,0.00103312439613295,-0.00225486102666281
"V253",0.000569904472418623,-0.0103591332619426,0.00812609147460846,0.00207722062219382
"V254",-0.000211293400877303,-0.00310297269849219,-0.000623653506271885,-0.00164938972800237
"V255",0.00133499521469486,0.00122741740799004,0.00144480912035109,-0.00315073925008057
"V256",-0.00460917029656942,-0.00540470405388492,0.0111963578066099,-0.00455891584735001
"V257",-0.00748527267182872,-0.00290226177942701,0.0013116369777772,0.0100054500042493
"V258",0.00620421724656289,-0.00169808735076531,-0.00216836606600988,-0.0129714991593286
"V259",-0.00318898179714519,-0.00273790727443869,-0.00154835552709139,-0.000502405866669983
"V260",-0.0015500528029637,-0.0120353047821045,-0.00104896953335585,0.0133411564117522
"V261",-0.0150283063465954,-0.00574598015525557,0.00072547761929764,0.00927313678168366
"V262",0.00685208153896891,-0.000167469511454702,-0.000740851307480321,-0.0044876365156713
"V263",0.0100006315744149,-0.00552013450687668,0.00864039316381057,0.00793042987768265
"V264",-0.00849298383059121,0.00734309075741236,0.00107055618531825,0.00613381363568873
"V265",-0.00460214011432386,0.0228642087113139,0.000487138450271482,0.00288295374730427
"V266",-0.000661003942089806,-0.00145345840434971,-0.000518982051698854,-0.000265207707198895
"V267",-0.00157627422555676,0.00359713627278612,0.00599088808072229,-0.0070897696663773
"V268",0.00654963585835716,-0.00541490581446065,0.00520786075445544,0.000114652078932949
"V269",0.00423211002072871,-0.00620159858492981,0.00402915414732314,0.00839741423855146
"V270",-0.00195100498690935,-0.00970754619071212,-0.00528332057440761,-0.000462020349462996
"V271",0.00483502206591124,0.00105003213618827,0.000307464050515396,0.00202397538179856
"V272",-0.00289907328005456,-0.0044473493827166,-0.000954286750014354,-0.000793045825105814
"V273",-0.0122477611876972,-0.0010870930721839,-0.0080415443433437,0.00262720377779859
"V274",-0.00251760149759172,-0.00467859317654386,0.00196261876854301,0.00720144855644446
"V275",-0.00427281164274266,0.00259813808792084,0.0032264484015688,0.0142915059929321
"V276",0.00642960617116085,-0.000205676858085997,-0.00139142887466103,0.000264108404083567
