"","X1","X2","X3","X4","X5","X6"
"V1",0.00678772179997974,-0.000930364979730181,-0.0152481284666784,0.0110928967757528,0.00157423612390748,0.00107441735395247
"V2",0.00986791740881707,0.00859526601903871,-0.0282239606272004,-0.0103047701056678,0.00605924258935051,-0.0085269668701948
"V3",0.00738574322828726,0.00174493307505396,-0.00540874719377824,0.00199804583348176,0.00405847021987563,0.00567179289748798
"V4",0.000793565157479098,-0.00156347525390804,0.00150353365413881,-0.00166000643482968,0.00284867972418068,0.0054497354498952
"V5",-0.00195685930859551,0.00676064151981828,-0.0235431813544144,-0.00875999648714125,-0.00337791707169092,-0.00473859740386058
"V6",-0.000484740686642965,-0.000436921640165725,0.00579280144160265,0.00276828214617803,-0.00693441500768628,0.00168837322756343
"V7",-0.015323731562643,-0.00800548376664685,-0.00800154121569813,0.0101117763820487,-0.00127491022756015,0.0111321332642372
"V8",-0.00229180928010903,-0.0105560088052912,-0.00323082374240215,0.00256423615349056,0.0080109749929181,-0.0017714578684966
"V9",-0.00727028519406898,-0.00574924653451874,0.00110235803807796,0.00233336705011073,-0.0100491680747061,0.00552215890799798
"V10",0.00755270375866154,-0.000841807857463787,-0.00124087221657578,-0.00374253687840119,-0.00329124763299794,-0.0025507052131263
"V11",0.00299087104494069,-0.00757406705669473,0.0110618429669284,-0.00481832726901298,-0.012324762027061,0.00372960879589957
"V12",0.00395547518452371,-0.0055818639932254,-0.00444358797860985,-0.00488292388150057,-0.0102814873351906,0.00209556891451546
"V13",-0.00853504883614179,-0.0101711196767702,0.0130048914731823,-0.0115956534605907,-0.00377836502751187,0.00201525865225277
"V14",-0.015591216343612,-0.00166164185794064,0.00657848815196554,0.00718772507870798,-0.00763659320905553,-0.00461039642468564
"V15",-0.00727989745727964,0.00836020457026045,-0.00454776997252515,0.0109808556442954,-0.00494481944686898,-0.00354459229674273
"V16",0.000621565632036411,-0.0014432754560447,0.00181671830499587,-0.00110155905289831,0.0024920001565089,0.00205927025420813
"V17",0.00579637049116802,-0.00841586797059827,0.00387510498196531,0.00388250359497826,-0.00852234765058011,-0.0108073491660004
"V18",-0.000542800804245477,-0.00191112586520171,0.000583153514105235,-0.00105255554600091,0.00155521809648867,-0.000787593819809167
"V19",-0.00206499963640817,-0.0011873007727584,-0.00804953239139523,0.00258613603207417,0.00190301200489334,-0.00884560274720834
"V20",-0.00125331062422318,-0.00155326876127285,0.0081170579246801,-0.0117594957200638,0.0249557530328473,-0.0251970241494887
"V21",0.000256849499157917,-0.00512857393117213,-0.00622421897180165,-0.00218780700297329,-0.00181214139799598,-0.00417468816397062
"V22",0.00337478982036939,0.00507695639088798,-0.0133114051532279,0.00359826904912005,0.00296226464098921,0.0029424009056498
"V23",-0.0096523475652105,-0.00428721109182025,0.00241316265377522,0.00158904787759584,-0.0137599254396566,-0.00377763702064484
"V24",-0.0050339803851389,0.00195224527386875,-0.00791794558987822,-0.00580586132497041,-0.00479489487404504,-0.00199254570272344
"V25",0.000412963172125701,-0.00284340814634912,0.00395383760755433,-0.00943667910753969,0.00331088148624985,0.00737478283633092
"V26",-0.00748845298237354,0.0109990105941825,-0.0011644224949878,-0.00349816112164611,0.00480107979299874,-0.00690582513265846
"V27",-0.00831149596907991,-0.0107409305964239,-0.00699837734797411,-0.0141412928444295,-0.00132963358653355,0.00368154020440221
"V28",0.000975768240543667,0.00558671004438798,-0.00444828245724067,-0.00462622060361089,-0.000446110974105399,-0.000587220407889895
"V29",0.00323533488150821,-0.0104623452471876,-0.00547277745969516,0.000621279940852926,-0.013223876117659,0.00686452854676043
"V30",-0.00721024028227447,-0.00238779034007827,0.00382069160736414,0.00386330794514732,0.00452771642099318,-0.0016077812553411
"V31",-0.00783408951051382,0.00359939636924742,0.00138033585387378,0.00966428768827076,0.00252011652130649,-0.0030753511510621
"V32",-0.0037707313439212,-0.00415223300035774,0.00114078627964727,-0.00810763576530669,0.00481540877943435,0.00566545006041088
"V33",-0.00640337418791813,-0.00684089115819268,-0.004930683962623,-0.00338157981734896,-0.00496799185246721,0.00291737220951679
"V34",-0.00355893261959835,-0.0113977376034182,-0.00163323349952599,-0.00411843006846025,0.000494339167883223,0.00253885205320511
"V35",2.99584408895736e-05,-0.00439359238880028,0.00190118450294455,-0.00849206920158473,-0.000810951515009745,-0.0136951738237439
"V36",0.00713253318435801,-0.00937852891561551,0.00482249789975165,0.00949694674735415,-0.0026831479371817,0.00561619169094462
"V37",-0.00283163524332059,-0.0107404948753521,-0.00484735947996626,0.00381138094907348,0.0123584683396983,0.0126862576057153
"V38",-0.0075862749947675,0.00342065542236402,-0.0194082085946364,-0.00740063685819252,-0.0066072750317286,0.00604998506998298
"V39",0.00444084812661931,-0.00149865428688414,-0.00412161207617197,-0.00215338613461663,-0.00778270760503015,-0.00469742827867742
"V40",-0.00883790515800469,0.00276601139890881,0.00387664072384453,-0.00789474426260677,0.00219894588066853,0.000904980594469364
"V41",0.00829994313656083,-0.00134848885684979,-0.00955841491658135,0.0124394304310646,-0.00948828949471157,0.00681431784557917
"V42",-0.00492592652468313,0.0141848860203318,-0.0380529629670913,-0.0116429369510043,-0.00181560273381937,-0.00110670129588053
"V43",0.00152474438318575,0.00304082844702903,-0.00727371391929974,0.0011358345422942,0.000553048085386014,0.00274336909464836
"V44",0.000112046588203484,-0.00321753213342243,0.000470182495661806,0.00266372485303472,-0.00100679387020297,0.0026216882190849
"V45",0.0228244172816908,-0.00465627943533759,-0.00113162305520644,0.000757670124055756,0.00477039161129579,0.00574118020215453
"V46",0.005056201673969,-0.00925407567516926,-0.00499113870021389,0.015202642942093,-0.0152021576576164,0.0116320385592737
"V47",0.0181633996338458,-0.00687183151854489,0.00332780621472306,0.00909772485254174,0.0120799187650128,-0.00263409604410884
"V48",0.00328108889393892,-0.0133263016606194,-0.00201048422857241,0.00767536661828662,0.00339328688177792,-0.00656442441856896
"V49",0.0197217893318265,-0.00465444094600517,-0.00404131723518556,0.0101958682394156,0.00369978508262664,-0.00546768732386168
"V50",0.00553650125564261,0.000559831700973001,-0.000579016342349264,0.00436028289703532,-0.00824601470153783,0.00566404670924787
"V51",-0.0111618880773411,0.0126269883120428,0.00739987509530404,0.0049873172745309,0.00789920922337999,-0.0125839730224439
"V52",0.00449060659355395,-0.0019285909290015,0.000288905422738351,0.00425553667174459,0.000233033553126824,-0.00297223501545538
"V53",-0.00214813246464072,0.00311665470792237,-0.00482826053794471,-0.0033142441444235,-0.000991895370428397,0.00443961482652595
"V54",-0.00388579650590076,-0.0129192817946293,-0.00174374576334275,0.00310216499752636,0.00675676910120498,-0.00192113713616408
"V55",0.00841517555259542,0.000499802944810053,-0.00677170684177143,-0.00287993059244834,-0.00156045001985711,-0.00197600511187241
"V56",-0.00223243939427041,-0.00621323239006148,0.00450724095269157,-0.00790748203602526,-0.00249407290905638,0.00320141944805346
"V57",0.00650765296287388,0.00557846033847176,0.00497606842460037,-0.00665630125885941,-0.00750714604123921,-0.00268636014147193
"V58",-0.00891448049226848,0.00760835342745964,-0.000605419622045481,-0.00851436481278893,-0.00192298166205119,-0.0016791148160853
"V59",0.0198018492694442,-0.0067074282525524,-0.00214495635721917,0.00750313801354378,0.0126356637228136,0.00457115614848749
"V60",-0.0139941927214849,0.00891066547480162,0.000993987303181804,0.0111517453221888,0.00286066683000477,-0.0029014253347043
"V61",0.0139282846670979,-0.00447727569884805,-0.000477768885566615,0.00813974756769982,-0.00279146561938766,0.0043210682817391
"V62",-0.00364732724632745,0.00387422510194184,0.001789595248715,-0.00470493028344349,-0.00040891251658105,0.00657659050415412
"V63",-0.0060271666480038,-0.00802223650756056,0.00303762787654629,0.00209040826861228,5.35535159294172e-05,0.000473346989039569
"V64",0.00496727665647885,-0.00644231997424567,-0.00313618576193592,-0.0159955555020045,-0.00113944496520296,-0.00797979773128003
"V65",-0.00261832450910868,-0.000616614343333562,0.000944132103134037,-0.00834505428468467,-0.0144865715892077,-0.000751267760442796
"V66",0.00582760096445475,0.00124043995889327,-0.00701894446398213,0.00756629312254827,-0.000207599163324486,-0.00233189155338025
