"","X1","X2"
"V1",0.00199662816406577,0.00100518652513242
"V2",-0.00668841753250508,0.0189549688255714
"V3",-0.00265904622202582,-0.00316144876715055
"V4",-0.00178323650898084,-0.00840865364365174
"V5",-0.0211690960343538,0.0133944299718486
"V6",-0.0139466359692396,-3.99793222263655e-05
"V7",-0.00655295991997941,0.00528177046609585
"V8",0.00186593357835084,0.00329294553740088
"V9",-0.00754176953610974,-0.0114480625859896
"V10",-0.0059450258680921,-0.00247034082387722
"V11",0.00264817412629795,-0.00461662383703792
"V12",-0.00523340177704945,-0.0029673033318211
"V13",0.00206205618988937,0.00134159650164296
"V14",0.00654097508569829,-0.0102196448510391
"V15",0.00927242361932117,0.00325259926386419
"V16",-0.00743249928437905,0.00205344366935235
"V17",0.0128190921322717,0.01075095554373
"V18",-0.00662761876644798,-0.00465268893430859
"V19",0.0137219023122845,0.0134192044820083
"V20",-0.00194882281242999,-0.00629204883673007
"V21",0.00736992951407103,0.010343844956633
"V22",0.000374185105189769,0.00372806763697251
"V23",-0.01386859313731,-0.00823813494086842
"V24",-0.00367641208309219,0.00305723419188697
"V25",-0.0021583128087268,-0.00309325549014426
"V26",0.00354074002214913,0.00269795159078398
"V27",-0.0118002799108635,0.00359614772138315
"V28",0.00822817996359362,0.0060132448345697
"V29",-0.00896433629735069,0.012751342815993
"V30",0.0174360382778328,-0.000878198727696792
"V31",0.00141823379279589,-0.00030591763706205
"V32",-0.00508507631536193,0.00335371261967711
"V33",-0.00872693816642378,0.0116722882668726
"V34",-0.00622654129629021,0.0062325176040735
"V35",0.00347951183071206,0.00677025607102345
"V36",0.00745098282207374,0.00927636576607217
"V37",-0.00311213747325996,0.000190431296633127
"V38",-0.0123079103416929,0.00423000624335969
"V39",9.26338673279328e-05,-0.00359807832208169
"V40",0.00430569328083914,0.00147079909960765
"V41",-0.00864456538317511,0.00940260814225261
"V42",-0.00656947858962315,0.00582037540326204
"V43",-0.00345275614944427,-0.00683275248995982
"V44",-0.000424438022426913,0.000992992395274826
"V45",0.00889983151764484,0.0115514189023317
"V46",-0.00578023078719563,0.0214431025404265
"V47",0.00895997981160126,0.00606669555350746
"V48",0.0088978452083955,-0.00057110698205825
"V49",0.00182787047268817,0.010379418979607
"V50",0.00134841577642103,-0.0029570815928995
"V51",-0.00724383888847469,-0.0115462311672558
"V52",0.00434763170963592,0.00419631190344717
