"","X1","X2","X3","X4","X5","X6","X7"
"V1",-0.000156696582860452,-0.00853291310860251,-0.00435897395547138,-0.00889719100723918,-0.00933007631999432,-0.0148201077290617,-0.00300182650243355
"V2",0.00932438711755438,-0.00639751955118696,0.0157033089662036,-0.0203808794934759,-0.0125746387604251,-0.00446313022043133,-0.0153291328362277
"V3",-0.000322992045658352,0.000160380166536804,0.00189755302622673,-0.0044628403403625,-0.00670535761037738,0.000404647549885714,0.00229591553986596
"V4",-0.00171930216000795,-0.00199512852749932,0.00359625954385625,-0.000200194323352665,-0.00259513433977675,0.00137153715488256,-0.00612269352174241
"V5",0.0325616563841242,-0.0146864496457264,-0.00389929732134103,0.000585627451562769,0.0119780185467347,-0.0238473330897342,-0.0317977217907727
"V6",0.00114947293155809,-0.000531248580982251,-0.000850559418537684,-0.000802263315233892,-0.00118537834971546,-0.000612374511187016,0.00102045276857993
"V7",-0.00538026237002175,-0.0150306532767047,-0.00998184975683274,0.00330717961721828,-0.00634546919617746,-0.0103967831133458,0.0016932220349512
"V8",0.00151907148817693,-0.00596296694132497,0.0115662101828317,0.00169441274220823,0.0026027354258531,-0.0081210181558415,0.00292971902461567
"V9",0.00154783966826401,-0.0086932849224979,-0.00191138527105067,-0.00329036091361563,-0.00522131541728599,0.000103887792536764,0.00547130425316175
"V10",0.0149463612716427,0.0013291885668716,0.00142118704379321,-0.00105734423971879,0.000660027358992725,0.0027187164173036,-0.00763642275189467
"V11",0.00465625226656592,-0.00286942817564761,-0.00888970146189117,0.00455767140016693,-0.00106244427139048,0.000978118052238624,-0.0110987284787335
"V12",0.00262745023360142,-0.00718108804162788,-0.00420514749261056,-0.00403005515843804,0.00286751465488921,0.00720982712336419,0.00139186074872517
"V13",0.00247049239053259,-0.00130553417195388,0.00471274376634106,0.00594018759040921,-0.000466830425206961,0.00181466153402039,0.00237904180072212
"V14",-0.00884190443533488,-0.000544631200865239,-0.0107272204608504,0.00114249952224024,-0.0101288836914707,0.00724204772861242,0.0117923254937764
"V15",-0.00214126406619006,-0.0023768044570829,-0.00742320094386558,0.00541646044888371,0.0130854326248894,0.00611943232594298,-0.0057760001043601
