"","X1","X2","X3","X4","X5","X6","X7"
"V1",-0.0155044467099501,0.0406086676623763,0.00829271934743067,0.000853050881841745,-0.00913900529190499,0.0191699463863713,-0.0327027445743193
"V2",0.00159502402511429,-0.00292026318716706,-0.0074412510299683,-0.00428427516228981,0.00183603073620924,0.00407862270757268,-0.00720087694349681
"V3",0.000730051324011037,-0.00212347348336475,-7.43095624057052e-05,-0.00256255275742362,-0.000799833818165484,0.000999816635610333,-0.000670774349879272
"V4",0.000800722846199931,0.00170397280750567,-0.00252252576746975,0.00107585310457605,0.00233615922707458,0.00169043657809582,0.00627955373983831
"V5",-0.00174002788489397,-0.00124981060787577,0.00260289158741566,0.00462658838221431,0.001775182776771,-0.00756191210698381,-0.00603830915023732
"V6",0,0,0,0,0,0,0
"V7",0.000738105337574023,-0.00121588909602756,-0.00707432900768968,-0.000999017626366334,0.0026497883692203,-0.00169805127009648,-0.00024588089767512
"V8",0.00233120247924739,-0.0050880674468142,-0.00751451616646596,0.0133034840333874,-0.00495250011703369,-0.00578156199351525,-0.00433996228705315
"V9",0.00760388233194713,0.0233203353225076,0.000919315882908679,-0.00105550881445566,-0.00692752421728294,-0.00195428900424157,0.000731563955145523
"V10",0.000173276612397567,-0.000663304215602806,0.000479016458504281,-3.7501994163688e-05,-0.00307583080576277,0.000294040130657676,0.00291278517041696
"V11",-0.00049940015114839,0.000732087951945334,0.000103881977929921,-5.59114443983298e-05,0.000119122778937709,-0.00010829049221703,0.000190850596997686
"V12",0.00320403250328743,0.00370259792556059,-0.0125192063561333,-0.00601507898705448,0.00325932565286048,-0.00243886873103438,0.00458602374610712
"V13",0.00108979311077621,0.00176315306988781,-0.00269753442803085,-0.00320739474737058,0.00147322498963422,0.000444442787107319,-0.00140952045763349
"V14",0.0278096638598992,0.07726292322089,0.0129768309246335,0.00308909014928068,-0.000317062105557701,0.00323669776217239,-0.00478296380861966
"V15",0.00402342351905224,-0.0151970348705338,-0.0238419380721245,0.0111061976444162,-0.0362625661484497,-0.0161671758638521,-0.00331623635615027
"V16",0.0104119160229933,-0.0241368210343994,-0.0149040291384044,-0.0497089696135817,-0.0585790073855976,-0.0323988594933019,0.0478306533649311
