"","X1","X2","X3","X4","X5","X6"
"V1",0.00101853792638988,0.00362294985054543,-0.000774873896969286,-0.00102221889333842,0.000143852464813812,0.00197655883548584
"V2",-0.00287933046244389,-0.00274085775349604,0.00326591345137537,-0.00310306423691985,-0.00565228486921651,0.0155881072352339
"V3",-0.000518715091789435,0.00465030556553011,-0.00563609872985266,-0.00863899017134223,-0.00379248662767061,0.0249036137746627
"V4",0.00762020296033032,-0.0195476827289652,0.00228397589627947,0.0035361492085009,-0.00799003663672294,-0.00922356121194691
"V5",-0.00244998376493887,-0.00395548273871188,0.00741566390909128,0.00583979739165682,-0.00221762067870607,-0.0112845132189322
"V6",0.0045094138403081,-0.0050750024124388,-0.00438557353736168,-6.63581766294203e-05,0.00106752183359707,-0.00777905903526688
"V7",-0.00375702747878665,0.00742638851289846,0.0150263167838405,0.00791440854663644,-0.000967120965529502,-0.00927279052808494
"V8",0.000383484859839903,-0.000147578053457608,0.00589844273921583,0.00316230743787641,-0.000826181073191235,-0.00697763046529223
"V9",-4.90625144284042e-05,0.000159143254200799,-0.000130311845424975,0.000300694261942441,4.38410311689276e-05,-0.000438982551257462
"V10",0.00010532332981802,-0.000192659915036617,-2.69013064057836e-05,-0.000215617641491977,-6.16590210399432e-05,0.000438783981836292
"V11",0.000133639263662108,4.60642357259745e-05,5.2370991386816e-05,-2.84648833436808e-05,-2.20797691776297e-05,0.000141669547820192
"V12",-0.000252573379752502,0.00089293241323161,0.0061682850191338,0.00106367213864986,-0.00112253961716013,0.00123775721576106
"V13",-0.0176397196102057,-0.0183138221332425,0.0210166284114535,0.00409473761748445,-0.0127129256419428,0.00730057498104412
"V14",-0.000204402404513993,-0.000329234012419627,0.00159301092725708,0.000404260880675268,-0.000251127747532769,8.57290973098574e-05
"V15",-0.00163359503562684,-0.00308738172764625,0.00779283868869899,0.000567172562734691,0.0528159142667693,0.00275704027402672
"V16",-0.00166649074654171,-0.000842302260820325,0.00317221516113441,0.00181175013880252,-4.85837976770166e-05,-0.000860614978364918
"V17",6.95330390449354e-05,2.30882696853638e-05,7.86629851297857e-05,7.24183890729557e-05,1.61975743073484e-05,-0.000295730801732595
"V18",-0.00026103466633576,-0.00188528133709508,0.000917520944008434,-0.000170838866985071,3.61180734402876e-05,0.00139583258946778
"V19",3.85320221103291e-05,6.36262875125514e-05,8.71428049829515e-05,-4.72660156682094e-06,0.000291980740019302,5.90620127304069e-05
"V20",0.00121803121025329,-0.000638205615514204,-0.000997195097393643,-0.00159622033171411,-0.000459643213844019,0.0069155991965987
"V21",0.000647973773632565,-0.00218093471607015,0.00258988013958094,7.15109731842707e-05,0.00208785036321932,0.00304399055713399
"V22",-0.000480409070857598,-0.000118721776229725,-5.29743252118877e-05,9.66315951541206e-06,-3.00019228887546e-05,-5.21084657957979e-05
"V23",-0.018493798255484,0.0258859007534852,0.0151448744656757,0.000718667802482606,-0.00223592768512561,0.0121485899303855
"V24",-0.00195081247762895,-0.00118069528580849,0.000585343407463991,0.000975783706438853,0.000275998255557574,0.000583322477042934
"V25",-0.00609537252598504,0.000480513460753515,0.00151240039956276,0.00129395471989535,-0.000864031315531219,-0.002881000295007
"V26",-0.0023486825884544,-0.00156973853157843,0.000455428120769459,0.000977432644833064,-0.000464460893332298,0.00139051205590099
"V27",9.01720056738078e-05,-7.67019614922081e-05,-0.000395910022365882,-0.000284833318266263,0.000198463765482492,9.50789732610527e-05
"V28",0.00872172481920865,0.0443524340994641,-0.00994082870408449,-0.00525133365507907,0.00308202042811389,0.00366304035481131
"V29",-0.0532796135762359,0.0133327283346449,-0.0203848622302917,0.000828242612695519,0.00204799171010017,0.00199439619605967
"V30",-2.50999766341638e-05,4.80389136446709e-05,8.31163816881223e-05,2.15490280713089e-05,1.04906287685244e-05,1.27890764509841e-05
"V31",0.00204662957249999,0.000660271627689513,-0.00326414464634502,0.00181390218320254,0.000548684666956037,-0.00295457098387893
"V32",1.10683903573399e-05,7.79470066021534e-05,-0.00019548936569024,4.71931881040639e-06,9.64037193621734e-05,-8.84812468904561e-05
"V33",0.00165890557166749,-0.00071086396629772,-0.00250493498363269,-0.00046609744227904,0.0027583527450572,-0.00363797499463066
"V34",-0.000160259241715998,9.49085785618581e-05,-0.000198022606577685,-0.000273404352499052,1.29309603794269e-06,0.000456222166812002
"V35",-0.000449325844358573,4.26330517537369e-05,0.00119120342510769,-9.67729892503646e-05,-2.70557890612923e-05,0.00122989052826908
"V36",-0.0137015655919865,0.00444141943541986,0.00429719836003853,-0.00216675439619852,-0.00134481807153804,0.0100861449641855
"V37",-3.07483281109535e-05,-1.34985937854261e-05,4.75675113628949e-05,2.36522030452724e-05,-4.15143149999633e-06,-3.88620927509626e-05
"V38",-0.000569269961075661,0.00252161183297939,-0.00710493033825925,0.00108469861041888,0.000812787625965714,-0.00622967667919098
"V39",-0.000329664695921375,0.00998600731055791,0.0109642318096703,0.00624064916412121,-0.00132070786457631,-0.00550965264740302
"V40",-0.00175394990800851,0.00498119172953166,0.00604640268185235,0.00083970030745714,0.00252862297651417,0.00378407036353475
"V41",0.00146425406564138,0.0101535261180772,-0.00526245341882028,-0.00371968732751977,-0.00159907829205691,0.00462416180163527
"V42",-4.14711730844961e-05,-2.95424437125618e-05,-1.01692666047412e-05,-2.57594118430623e-05,-6.04464540775658e-06,6.18940983658449e-05
"V43",-1.18944781253177e-05,-2.31743041434564e-05,3.97881244127418e-05,2.78604701148315e-05,7.69241389982651e-06,-4.61492791000868e-05
"V44",-0.00181345702159292,-0.00122191547850519,0.00478222692416437,0.00126914460683216,-0.0010714682866351,8.22233365303412e-05
"V45",8.5909186564486e-07,-1.83889891631683e-05,-1.43068661220698e-05,-2.81220575701988e-05,5.44813212797421e-05,5.04798187304476e-05
"V46",-0.00298681547965061,-0.00300808878734842,0.00596171624283006,0.0024573564565789,-0.00278569795384637,-0.00392987889523772
"V47",0.00169743196979305,-0.00700897415862199,-0.00358204219447704,-0.00164489838621835,0.0012623681859614,0.00140799569649656
"V48",-0.00016444198445579,-0.0028237899661372,0.00206040734831716,-0.00167673133570529,0.00349728111240782,0.00546902346040429
"V49",0.00827425959713443,0.0162176032705005,-0.00846410189451701,-0.00527749536043959,-0.00168635951019767,0.00727638402269928
"V50",0.000639155975301601,0.00233123439029432,0.00221774109454276,-0.000500470447129931,0.00457719714204705,0.00115614146310796
"V51",0.000812632300177645,0.00568584613359947,0.00525296011483651,1.51096973779862e-05,-0.000862629597534985,0.00432978611621797
"V52",-0.00255389122844102,0.00489862577998457,0.00686703371234627,0.00338952175108582,0.000294519759795998,-0.00825958075615765
"V53",0.00309631545618939,0.00229713291860112,-0.00457421928092158,-0.00256107137515235,-0.000793424192710559,0.00564078467690391
"V54",-0.000646524485462628,-0.00871550016731162,-4.64985542168236e-05,-0.00052978305347896,-0.00180322150315188,0.000607444332757893
"V55",-0.0018166087039368,-0.00753578263488896,-0.00144056859513347,8.26598298366679e-05,-0.00241415327812036,0.00213368162211183
"V56",-0.00151085281357642,-0.00120809008102812,0.00301045267242348,0.00104986240691443,-2.96951322267896e-06,-0.000607338146664099
"V57",0.00188217103908462,0.000547787238857228,0.000131137101264131,-2.56153037439081e-05,-0.000686981128592219,-0.000820912389454535
"V58",0.00227305028420585,0.00229808053615846,-0.00171944860656125,-0.000246434146685018,0.000867974333273083,-0.00182109182925099
"V59",2.65912472289043e-06,3.64019084487318e-05,-0.000900253897382166,0.000122119013618191,0.000575083561449926,-0.000573064200092003
"V60",-0.00138569889863878,-0.000873653899950155,0.00411663737354165,0.00214792276835368,-0.000599717006397591,-0.00277392471498208
"V61",-0.00186510314331553,-0.00438482873300635,0.00659409172548141,0.00645736365033828,0.00120556911155822,-0.00711033755200715
"V62",-0.000326298729095906,1.61297028001107e-05,-0.000429861875389382,-0.000331015299695578,0.000157311280834203,0.000264173001611326
"V63",-0.0032779072735429,-0.00140479245843169,-0.00517422855795729,-0.00171851586424642,0.000748948486006874,0.000718003824468436
"V64",0.00131356247703628,0.000812272973001033,-0.00105138738454944,-0.000476376955547922,0.000897076424954154,-0.00119120715680043
"V65",-0.00230417065379816,-0.00238447837064522,0.00170882043349999,-0.000486639809250663,-0.000536424862349888,0.00315191393626373
"V66",0.000996863538459747,0.00889822667001131,-0.000448798978796032,-0.00175347919451273,0.000483008103954846,0.00284078971245457
"V67",0.000231683673012691,0.000260861249176645,0.00041493099242462,-0.000386545129327128,0.001020724216089,0.00120606798975427
"V68",3.89329882715168e-05,-0.000163652327795118,0.00114285400741598,-0.000291854871950143,8.05476434574568e-05,0.00170758361133129
