"","V1","V2","V3"
"model",1,1,1
"K",2,2,2
"threshold",0.01,0.1,0.2
"LL",-399782067.723116,-481634811.894887,-518953224.045135
"BIC",-807399035.72189,-965620970.123333,-1039278169.91232
"ICL",-807399036.785874,-965620971.217732,-1039278174.82877
"rank",1,2,3
"originalOrder",1,2,3
"complexity",785054,235604,137446
