"","X[[i]]"
"1",9
"2",9
"3",9
"4",9
"5",9
"6",9
"7",9
"8",9
"9",9
"10",9
"11",9
"12",9
"13",9
"14",9
"15",9
"16",9
"17",9
"18",9
"19",9
"20",9
"21",9
"22",9
"23",9
"24",9
"25",9
"26",9
"27",9
"28",9
"29",9
"30",9
"31",9
"32",9
"33",9
"34",9
"35",9
"36",9
"37",9
"38",9
"39",9
"40",9
"41",9
"42",9
"43",9
"44",9
"45",9
"46",9
"47",9
"48",9
"49",9
"50",9
"51",9
"52",9
"53",9
"54",9
"55",9
"56",9
"57",9
"58",9
"59",9
"60",9
"61",9
"62",9
"63",9
"64",9
"65",9
"66",11
"67",9
"68",9
"69",9
"70",9
"71",9
"72",9
"73",9
"74",9
"75",9
"76",9
"77",9
"78",9
"79",9
"80",9
"81",9
"82",9
"83",9
"84",9
"85",9
"86",9
"87",9
"88",9
"89",9
"90",9
"91",9
"92",9
"93",9
"94",9
"95",9
"96",9
"97",9
"98",9
"99",9
"100",9
"101",9
"102",12
"103",9
"104",12
"105",12
"106",9
"107",11
"108",11
"109",11
"110",11
"111",9
"112",11
"113",12
"114",12
"115",12
"116",12
"117",9
"118",12
"119",11
"120",11
"121",9
"122",11
"123",12
"124",12
"125",9
"126",12
"127",11
"128",12
"129",9
"130",11
"131",11
"132",11
"133",11
"134",11
"135",12
"136",9
"137",12
"138",11
"139",9
"140",11
"141",12
"142",9
"143",11
"144",11
"145",11
"146",9
"147",12
"148",11
"149",9
"150",12
"151",9
"152",12
"153",15
"154",9
"155",12
"156",9
"157",9
"158",9
"159",12
"160",11
"161",9
"162",9
"163",12
"164",12
"165",9
"166",11
"167",12
"168",9
"169",12
"170",12
"171",9
"172",9
"173",11
"174",12
"175",9
"176",9
"177",12
"178",9
"179",11
"180",9
"181",9
"182",12
"183",9
"184",11
"185",12
"186",9
"187",12
"188",9
"189",9
"190",9
"191",9
"192",12
"193",9
"194",12
"195",14
"196",14
"197",14
"198",14
"199",14
"200",14
"201",14
"202",14
"203",14
"204",14
"205",14
"206",15
"207",14
"208",14
"209",14
"210",14
"211",14
"212",14
"213",14
"214",14
"215",14
"216",15
"217",13
"218",13
"219",13
"220",13
"221",12
"222",9
"223",9
"224",12
"225",12
"226",12
"227",12
"228",12
"229",12
"230",11
"231",9
"232",12
"233",12
"234",12
"235",11
"236",12
"237",12
"238",12
"239",9
"240",12
"241",12
"242",9
"243",11
"244",12
"245",11
"246",11
"247",12
"248",11
"249",12
"250",11
"251",12
"252",12
"253",11
"254",11
"255",12
"256",9
"257",9
"258",11
"259",12
"260",11
"261",12
"262",11
"263",12
"264",9
"265",12
"266",11
"267",12
"268",11
"269",12
"270",12
"271",12
"272",12
"273",12
"274",12
"275",12
"276",12
"277",11
"278",11
"279",11
"280",12
"281",12
"282",12
"283",12
"284",12
"285",12
"286",11
"287",9
"288",12
"289",12
"290",12
"291",11
"292",12
"293",12
"294",12
"295",12
"296",15
"297",12
"298",9
"299",12
"300",12
"301",15
"302",12
"303",12
"304",12
"305",11
"306",12
"307",11
"308",12
"309",12
"310",9
"311",12
"312",9
"313",12
"314",12
"315",12
"316",11
"317",12
"318",12
"319",12
"320",12
"321",12
"322",12
"323",12
"324",9
"325",9
"326",12
"327",9
"328",12
"329",12
"330",9
"331",12
"332",12
"333",12
"334",12
"335",12
"336",12
"337",12
"338",12
"339",9
"340",12
"341",9
"342",12
"343",12
"344",12
"345",12
"346",12
"347",12
"348",12
"349",12
"350",12
"351",12
"352",12
"353",11
"354",12
"355",12
"356",12
"357",12
"358",12
"359",12
"360",12
"361",12
"362",12
"363",12
"364",12
"365",11
"366",9
"367",9
"368",12
"369",12
"370",12
"371",9
"372",9
"373",9
"374",9
"375",12
"376",12
"377",9
"378",12
"379",12
"380",12
"381",12
"382",12
"383",12
"384",12
"385",9
"386",12
"387",12
"388",9
"389",12
"390",12
"391",12
"392",11
"393",10
"394",10
"395",10
"396",10
"397",10
"398",10
"399",10
"400",10
"401",10
"402",10
"403",10
"404",10
"405",10
"406",10
"407",10
"408",10
"409",15
"410",10
"411",10
"412",10
"413",10
"414",10
"415",10
"416",10
"417",10
"418",10
"419",10
"420",10
"421",10
"422",10
"423",10
"424",12
"425",15
"426",12
"427",12
"428",10
"429",10
"430",10
"431",10
"432",10
"433",10
"434",10
"435",10
"436",10
"437",10
"438",10
"439",10
"440",10
"441",10
"442",10
"443",10
"444",10
"445",10
"446",10
"447",10
"448",10
"449",10
"450",10
"451",10
"452",10
"453",10
"454",10
"455",10
"456",15
"457",10
"458",10
"459",10
"460",15
"461",10
"462",10
"463",10
"464",10
"465",12
"466",10
"467",10
"468",10
"469",12
"470",10
"471",10
"472",12
"473",12
"474",12
"475",15
"476",10
"477",10
"478",15
"479",10
"480",10
"481",10
"482",12
"483",10
"484",15
"485",15
"486",10
"487",10
"488",10
"489",10
"490",5
"491",5
"492",5
"493",5
"494",5
"495",5
"496",5
"497",5
"498",5
"499",5
"500",5
